Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
2-3-1,Run1,0.0041,G,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,1.677,S,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,3.3507,D,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,5.0299,P,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,6.7008,D,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,8.3795,Y,2,Rather Dark (10–50 lux),2-3-1,space,0.1391,0.118
2-3-1,Run1,10.0499,E,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,11.7289,M,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,13.4079,A,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,15.0839,X,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,16.7609,L,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,18.4319,D,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,20.1037,L,2,Rather Dark (10–50 lux),2-3-1,space,1.4602,0.1799
2-3-1,Run1,21.779,X,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,23.4568,H,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,25.1323,R,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,26.8121,U,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,28.4893,J,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,30.1637,O,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,31.8346,X,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,33.5066,Y,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,35.1861,V,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,36.8624,Y,2,Rather Dark (10–50 lux),2-3-1,space,1.2848,0.215
2-3-1,Run1,38.537,Z,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,40.2164,L,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,41.8869,C,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,43.5664,D,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,45.2411,C,2,Rather Dark (10–50 lux),2-3-1,space,1.3851,0.1947
2-3-1,Run1,46.9121,L,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,48.5848,I,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,50.2569,C,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,51.9373,I,2,Rather Dark (10–50 lux),2-3-1,space,1.1815,0.2021
2-3-1,Run1,53.6171,W,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,55.2949,R,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,56.9704,H,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,58.6438,R,2,Rather Dark (10–50 lux),2-3-1,space,1.1408,0.1802
2-3-1,Run1,60.3213,G,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,61.991,K,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,63.6638,O,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,65.3399,M,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,67.0115,T,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,68.6879,Q,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,70.3613,S,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,72.0354,X,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,73.7114,S,2,Rather Dark (10–50 lux),2-3-1,space,1.1087,0.2429
2-3-1,Run1,75.387,Q,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,77.0568,C,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,78.7347,Q,2,Rather Dark (10–50 lux),2-3-1,space,1.5865,
2-3-1,Run1,80.4094,C,2,Rather Dark (10–50 lux),2-3-1,space,1.4644,0.1392
2-3-1,Run1,82.0812,E,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,83.7563,U,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,85.4347,R,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,87.1099,O,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,88.7862,K,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,90.4671,W,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,92.1447,K,2,Rather Dark (10–50 lux),2-3-1,space,1.3177,0.1711
2-3-1,Run1,93.8191,S,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,95.4892,Z,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,97.1689,V,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,98.8447,P,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,100.5215,V,2,Rather Dark (10–50 lux),2-3-1,space,1.0343,0.1921
2-3-1,Run1,102.1974,K,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,103.8771,Y,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,105.5505,A,2,Rather Dark (10–50 lux),2-3-1,,,
2-3-1,Run1,107.2264,F,2,Rather Dark (10–50 lux),2-3-1,,,
