Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Anjali_1,Run3,0.0011,E,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,1.5078,V,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,3.0129,S,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,4.5249,B,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,6.0317,B,1,Complete Darkness (0–5 lux),1-2-3,space,1.069,0.2157
Anjali_1,Run3,7.5448,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,9.0518,F,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,10.5562,T,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,12.0659,U,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,13.5727,J,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,15.0779,I,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,16.5849,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,18.0953,W,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,19.6057,W,1,Complete Darkness (0–5 lux),1-2-3,space,1.1057,0.236
Anjali_1,Run3,21.1098,R,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,22.6178,K,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,24.1219,Z,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,25.6273,U,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,27.1309,U,1,Complete Darkness (0–5 lux),1-2-3,space,0.993,0.2258
Anjali_1,Run3,28.6409,B,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,30.1453,E,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,31.6489,U,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,33.1587,U,1,Complete Darkness (0–5 lux),1-2-3,space,1.0844,0.2017
Anjali_1,Run3,34.6629,W,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,36.1672,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,37.6788,R,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,39.1827,R,1,Complete Darkness (0–5 lux),1-2-3,space,1.1284,0.1807
Anjali_1,Run3,40.6857,J,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,42.1957,K,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,43.709,Z,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,45.2109,J,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,46.7246,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,48.2372,K,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,49.7416,S,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,51.255,D,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,52.7671,S,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,54.2748,D,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,55.788,U,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,57.2924,T,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,58.7974,R,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,60.3071,X,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,61.811,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,63.3153,J,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,64.824,F,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,66.335,F,1,Complete Darkness (0–5 lux),1-2-3,space,1.3024,
Anjali_1,Run3,67.8424,I,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,69.3479,L,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,70.8596,L,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,72.3661,B,1,Complete Darkness (0–5 lux),1-2-3,space,0.2979,0.2151
Anjali_1,Run3,73.8799,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,75.3879,O,1,Complete Darkness (0–5 lux),1-2-3,space,1.3571,
Anjali_1,Run3,76.899,B,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,78.4014,X,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,79.9079,Q,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,81.4115,Q,1,Complete Darkness (0–5 lux),1-2-3,space,1.2145,0.2481
Anjali_1,Run3,82.9207,L,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,84.4303,B,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,85.94,Q,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,87.4436,M,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,88.9489,A,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,90.4617,T,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,91.9712,X,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,93.48,Y,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,94.9891,S,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,96.4978,F,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,98.0046,O,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,99.5139,F,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,101.0207,F,1,Complete Darkness (0–5 lux),1-2-3,space,1.2173,0.2574
Anjali_1,Run3,102.5324,B,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,104.0374,N,1,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,108.2792,T,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,109.7877,Z,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,111.294,D,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,112.8016,P,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,114.3075,L,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,115.8157,M,2,Complete Darkness (0–5 lux),1-2-3,,,
Anjali_1,Run3,117.3273,I,2,Complete Darkness (0–5 lux),1-2-3,,,
