Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Hari_1,Run1,0.0015,M,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,1.5083,W,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,3.0182,K,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,4.5261,P,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,6.0274,X,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,7.5412,G,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,9.0461,L,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,10.5533,R,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,12.0673,R,1,Low Light (≈200 lux),1-3-2,space,1.1175,0.1506
Hari_1,Run1,13.5737,F,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,15.0842,K,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,16.5929,K,1,Low Light (≈200 lux),1-3-2,space,0.9856,0.1509
Hari_1,Run1,18.0977,T,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,19.6054,L,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,21.1114,J,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,22.6233,V,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,24.1292,D,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,25.6424,Z,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,27.1456,Z,1,Low Light (≈200 lux),1-3-2,space,1.1562,0.1397
Hari_1,Run1,28.6496,U,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,30.1637,J,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,31.6698,U,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,33.1796,H,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,34.6873,G,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,36.197,J,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,37.701,J,1,Low Light (≈200 lux),1-3-2,space,1.1508,0.1602
Hari_1,Run1,39.2082,K,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,40.7161,S,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,42.2268,S,1,Low Light (≈200 lux),1-3-2,space,1.0472,0.1595
Hari_1,Run1,43.7341,Z,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,45.2408,S,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,46.7529,Q,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,48.2651,W,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,49.7759,C,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,51.2874,B,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,52.7945,E,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,54.3041,L,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,55.8163,L,1,Low Light (≈200 lux),1-3-2,space,1.1736,0.2047
Hari_1,Run1,57.327,K,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,58.8343,A,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,60.3382,U,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,61.8479,V,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,63.3583,E,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,64.8665,X,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,66.3747,T,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,67.8832,R,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,69.3965,D,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,70.9011,M,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,72.406,M,1,Low Light (≈200 lux),1-3-2,space,1.285,0.1603
Hari_1,Run1,73.9196,W,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,75.4245,F,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,76.9379,W,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,78.45,L,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,79.9595,V,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,81.464,Q,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,82.9724,F,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,84.4843,F,1,Low Light (≈200 lux),1-3-2,space,1.2405,0.1378
Hari_1,Run1,85.9959,Y,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,87.5025,L,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,89.0098,P,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,90.5184,G,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,92.0299,D,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,93.5385,D,1,Low Light (≈200 lux),1-3-2,space,1.0786,0.1201
Hari_1,Run1,95.0472,E,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,96.5595,P,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,98.0682,I,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,99.5732,Q,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,101.0766,Q,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,102.5852,Q,1,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,104.0971,D,1,Low Light (≈200 lux),1-3-2,space,0.063,0.1599
Hari_1,Run1,112.7369,Y,3,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,114.2447,C,3,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,115.7542,Y,3,Low Light (≈200 lux),1-3-2,,,
Hari_1,Run1,117.2673,W,3,Low Light (≈200 lux),1-3-2,space,0.1388,0.1373
Hari_1,Run1,118.7753,O,3,Low Light (≈200 lux),1-3-2,,,
