Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Hari_2,Run1,0.004,Z,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,1.513,Q,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,3.019,G,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,4.5334,O,1,Rather Dark (10–50 lux),1-3-2,space,0.2148,0.1178
Hari_2,Run1,6.0402,S,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,7.55,S,1,Rather Dark (10–50 lux),1-3-2,space,1.2419,0.1952
Hari_2,Run1,9.0559,O,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,10.5679,K,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,12.0739,M,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,13.582,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,15.0966,S,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,16.603,W,1,Rather Dark (10–50 lux),1-3-2,space,0.6584,0.2126
Hari_2,Run1,18.1071,W,1,Rather Dark (10–50 lux),1-3-2,space,1.0169,0.1899
Hari_2,Run1,19.6187,L,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,21.1322,G,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,22.6461,D,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,24.1538,K,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,25.6598,A,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,27.1659,I,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,28.6729,W,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,30.1866,K,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,31.6967,K,1,Rather Dark (10–50 lux),1-3-2,space,1.0214,0.2111
Hari_2,Run1,33.2022,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,34.7061,N,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,36.2139,V,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,37.722,Q,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,39.2308,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,40.7396,T,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,42.2518,I,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,43.7608,I,1,Rather Dark (10–50 lux),1-3-2,space,1.29,0.1837
Hari_2,Run1,45.2719,O,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,46.7769,D,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,48.2812,R,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,49.788,K,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,51.297,K,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,52.8041,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,54.3107,F,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,55.8161,F,1,Rather Dark (10–50 lux),1-3-2,space,0.9783,0.2457
Hari_2,Run1,57.3291,T,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,58.8389,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,60.3506,C,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,61.8618,T,1,Rather Dark (10–50 lux),1-3-2,,,
Hari_2,Run1,63.3672,Q,1,Rather Dark (10–50 lux),1-3-2,,,
