Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Hari_2,Run2,0.005,N,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,1.5093,B,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,3.0138,U,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,4.5211,I,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,6.0307,T,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,7.5397,D,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,9.0501,S,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,10.5649,Z,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,12.0731,W,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,13.5832,I,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,15.0929,Z,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,16.6,K,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,18.1062,S,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,19.6153,O,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,21.1227,G,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,22.63,G,1,Rather Bright (300–500 lux),1-3-2,space,1.112,0.1274
Hari_2,Run2,24.1408,S,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,25.6529,J,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,27.1631,J,1,Rather Bright (300–500 lux),1-3-2,space,1.0794,0.1603
Hari_2,Run2,28.6743,A,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,30.1799,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,31.6932,U,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,33.2058,U,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,34.7117,X,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,36.2209,P,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,37.726,P,1,Rather Bright (300–500 lux),1-3-2,space,0.9667,0.1282
Hari_2,Run2,39.2333,L,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,40.7457,G,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,42.2509,S,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,43.756,O,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,45.2623,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,46.7696,I,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,48.278,I,1,Rather Bright (300–500 lux),1-3-2,space,1.0651,0.1407
Hari_2,Run2,49.7893,W,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,51.2931,A,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,52.8039,W,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,54.3179,J,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,55.8229,J,1,Rather Bright (300–500 lux),1-3-2,space,1.1943,0.1482
Hari_2,Run2,57.3291,Y,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,58.841,R,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,60.352,K,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,61.86,I,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,63.3681,H,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,64.8731,H,1,Rather Bright (300–500 lux),1-3-2,space,1.2171,0.1199
Hari_2,Run2,66.3866,Y,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,67.8996,N,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,69.4058,P,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,70.9138,Y,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,72.4254,O,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,73.9399,O,1,Rather Bright (300–500 lux),1-3-2,space,1.3139,0.1171
Hari_2,Run2,75.4493,B,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,76.958,Q,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,78.464,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,79.9701,H,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,81.4761,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,82.9876,Z,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,84.4923,J,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,86.0031,Z,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,87.5131,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,89.0271,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,90.5348,P,1,Rather Bright (300–500 lux),1-3-2,space,1.4484,
Hari_2,Run2,92.0399,A,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,93.5463,R,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,95.058,V,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,96.5624,G,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,98.0759,G,1,Rather Bright (300–500 lux),1-3-2,space,1.2238,0.1599
Hari_2,Run2,99.5812,X,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,101.0911,U,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,102.5979,E,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,104.1076,Z,1,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,115.938,E,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,117.4483,B,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,118.9598,T,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,120.4681,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,121.9797,F,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,123.4839,T,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,124.9878,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,126.5029,T,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,128.0147,O,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,129.5273,C,3,Rather Bright (300–500 lux),1-3-2,space,1.3627,
Hari_2,Run2,131.0337,D,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,132.5467,P,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,134.0507,S,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,135.5599,D,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,137.0645,N,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,138.5725,Y,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,140.0769,K,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,141.5876,O,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,143.0967,L,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,144.601,K,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,146.1112,N,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,147.624,Q,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,149.1359,I,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,150.646,X,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,152.151,Q,3,Rather Bright (300–500 lux),1-3-2,space,1.2899,0.1596
Hari_2,Run2,153.6576,A,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,155.1711,M,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,156.6811,T,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,158.1883,P,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,159.6957,M,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,161.2068,R,3,Rather Bright (300–500 lux),1-3-2,space,0.0105,0.1724
Hari_2,Run2,162.7168,Q,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,164.2211,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,165.7298,N,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,167.2394,P,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,168.7448,D,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,170.2551,T,3,Rather Bright (300–500 lux),1-3-2,space,1.1723,0.1491
Hari_2,Run2,171.7608,W,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,173.2738,G,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,174.7817,T,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,176.286,L,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,177.796,O,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,179.3034,S,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,180.8183,H,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,182.3308,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,183.8362,A,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,185.3472,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,186.8619,Q,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,188.37,A,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,189.8838,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,191.3962,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,192.9063,D,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,194.4192,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,195.9332,N,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,197.4418,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,198.9532,H,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,200.4645,V,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,201.9725,J,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,203.4766,H,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,204.9809,C,3,Rather Bright (300–500 lux),1-3-2,space,0.8572,0.1616
Hari_2,Run2,206.4856,P,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,207.9976,W,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,209.5058,I,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,211.0158,U,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,212.526,W,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,214.0356,I,3,Rather Bright (300–500 lux),1-3-2,space,0.3493,0.139
Hari_2,Run2,215.5431,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,217.0549,H,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,218.5592,L,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,220.0647,Z,3,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,230.6035,A,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,232.1096,I,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,233.6233,C,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,235.1301,K,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,236.639,M,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,238.1497,J,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,239.6573,Y,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,241.161,T,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,242.6731,E,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,244.1858,T,2,Rather Bright (300–500 lux),1-3-2,,,
Hari_2,Run2,245.6949,X,2,Rather Bright (300–500 lux),1-3-2,,,
