Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Kiran_1_final,Run3,0.0041,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,1.6803,H,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,3.3551,Z,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,5.0292,P,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,6.7041,X,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,8.38,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,10.0587,U,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,11.7276,X,3,Low Light (≈200 lux),3-1-2,space,1.107,0.1205
Kiran_1_final,Run3,13.4048,K,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,15.0812,W,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,16.7582,H,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,18.4371,E,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,20.1144,I,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,21.7893,K,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,23.4603,V,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,25.1386,N,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,26.8084,K,3,Low Light (≈200 lux),3-1-2,space,1.4417,0.118
Kiran_1_final,Run3,28.4859,B,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,30.1581,F,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,31.8301,T,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,33.5074,P,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,35.1863,H,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,36.8597,F,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,38.5336,D,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,40.2097,H,3,Low Light (≈200 lux),3-1-2,space,1.2143,0.1064
Kiran_1_final,Run3,41.8859,O,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,43.557,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,45.2279,I,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,46.8996,J,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,48.5722,B,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,50.2467,K,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,51.9215,J,3,Low Light (≈200 lux),3-1-2,space,1.2788,0.1299
Kiran_1_final,Run3,53.5994,G,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,55.2716,W,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,56.9433,I,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,58.6148,C,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,60.2924,H,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,61.9693,I,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,63.645,N,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,65.3203,J,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,66.9979,U,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,68.6696,C,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,70.3461,J,3,Low Light (≈200 lux),3-1-2,space,1.0795,0.1185
Kiran_1_final,Run3,72.0178,H,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,73.6978,A,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,75.376,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,77.0513,J,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,78.7264,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,80.3985,Y,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,82.0756,U,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,83.7535,M,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,85.4268,X,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,87.0986,I,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,88.7734,D,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,90.4441,C,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,92.118,L,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,93.79,D,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,95.4659,N,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,97.1457,A,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,98.8167,G,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,100.4876,L,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,102.1645,A,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,103.8351,D,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,105.5093,C,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,107.1831,X,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,108.8564,W,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,110.5296,C,3,Low Light (≈200 lux),3-1-2,space,1.326,0.0964
Kiran_1_final,Run3,112.2034,Z,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,113.8741,A,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,115.55,P,3,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,118.3029,F,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,119.9735,R,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,121.6482,F,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,123.3278,F,1,Low Light (≈200 lux),3-1-2,space,0.2258,0.0976
Kiran_1_final,Run3,124.9978,K,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,126.6745,W,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,128.3455,L,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,130.0244,G,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,131.6975,G,1,Low Light (≈200 lux),3-1-2,space,1.2987,0.1075
Kiran_1_final,Run3,133.3712,A,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,135.0509,H,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,136.7224,C,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,138.3964,C,1,Low Light (≈200 lux),3-1-2,space,0.9977,0.096
Kiran_1_final,Run3,140.0677,M,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,141.7412,W,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,143.4141,S,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,145.0878,N,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,146.7611,Q,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,148.4322,B,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,150.1101,A,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,151.7815,X,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,153.4566,N,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,155.1277,H,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,156.802,I,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,158.4742,K,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,160.153,I,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,161.8312,M,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,163.5032,O,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,165.174,O,1,Low Light (≈200 lux),3-1-2,space,1.0669,0.0858
Kiran_1_final,Run3,166.8524,Z,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,168.5296,L,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,170.2094,R,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,171.8862,R,1,Low Light (≈200 lux),3-1-2,space,1.4839,0.1397
Kiran_1_final,Run3,173.5649,W,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,175.2424,T,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,176.9152,B,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,178.5847,Q,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,180.2619,H,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,181.9351,H,1,Low Light (≈200 lux),3-1-2,space,0.8559,0.1165
Kiran_1_final,Run3,183.6058,H,1,Low Light (≈200 lux),3-1-2,space,1.3649,0.1524
Kiran_1_final,Run3,185.2847,V,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,186.9584,I,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,188.6348,Q,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,190.3057,I,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,191.9854,B,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,193.6624,H,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,195.3356,D,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,197.0073,S,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,198.678,V,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,200.3521,N,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,202.0302,J,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,203.7042,J,1,Low Light (≈200 lux),3-1-2,space,1.095,0.0654
Kiran_1_final,Run3,205.3772,V,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,207.057,U,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,208.7282,Z,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,210.4003,M,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,212.0732,Z,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,213.7452,Z,1,Low Light (≈200 lux),3-1-2,space,1.0179,0.1092
Kiran_1_final,Run3,215.4183,O,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,217.0886,T,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,218.7645,V,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,220.4356,A,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,222.1122,A,1,Low Light (≈200 lux),3-1-2,space,1.1933,0.1068
Kiran_1_final,Run3,223.7865,U,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,225.4631,W,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,227.1316,T,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,228.8068,X,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,230.4859,Q,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,232.1619,Q,1,Low Light (≈200 lux),3-1-2,space,1.2098,0.1294
Kiran_1_final,Run3,233.8334,D,1,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,254.9877,E,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,256.6579,A,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,258.3364,O,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,260.0068,I,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,261.6752,U,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,263.3539,I,2,Low Light (≈200 lux),3-1-2,space,0.926,0.095
Kiran_1_final,Run3,265.0323,I,2,Low Light (≈200 lux),3-1-2,,,
Kiran_1_final,Run3,266.7058,S,2,Low Light (≈200 lux),3-1-2,,,
