Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Kiran,Run2,0.001,M,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,1.5103,Z,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,3.0154,B,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,4.5169,J,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,6.0212,K,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,7.5316,B,3,Complete Darkness (0–5 lux),3-1-2,space,1.0448,0.1589
Kiran,Run2,9.0424,X,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,10.5517,J,3,Complete Darkness (0–5 lux),3-1-2,space,1.4865,
Kiran,Run2,12.0611,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,13.5644,R,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,15.0755,J,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,16.5823,W,3,Complete Darkness (0–5 lux),3-1-2,space,0.2802,0.1845
Kiran,Run2,18.0861,Z,3,Complete Darkness (0–5 lux),3-1-2,space,0.6109,0.1714
Kiran,Run2,19.5965,Y,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,21.1053,P,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,22.6173,R,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,24.1263,V,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,25.6275,Q,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,27.1293,X,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,28.635,L,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,30.1423,Z,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,31.6494,X,3,Complete Darkness (0–5 lux),3-1-2,space,1.0743,0.2135
Kiran,Run2,33.1603,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,34.6624,T,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,36.1726,N,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,37.6766,I,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,39.1809,T,3,Complete Darkness (0–5 lux),3-1-2,space,1.4424,
Kiran,Run2,40.6874,C,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,42.1912,R,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,43.698,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,45.2049,P,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,46.715,C,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,48.2184,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,49.7249,O,3,Complete Darkness (0–5 lux),3-1-2,space,0.6722,0.1693
Kiran,Run2,51.2271,H,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,52.7349,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,54.2433,L,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,55.749,H,3,Complete Darkness (0–5 lux),3-1-2,space,1.0561,0.2142
Kiran,Run2,57.2546,H,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,58.7571,X,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,60.2683,D,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,61.7714,W,3,Complete Darkness (0–5 lux),3-1-2,space,1.2892,0.1742
Kiran,Run2,63.278,N,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,64.7896,D,3,Complete Darkness (0–5 lux),3-1-2,space,1.2767,0.213
Kiran,Run2,66.2912,O,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,67.8003,G,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,69.3075,W,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,70.8109,J,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,72.3192,G,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,73.8212,W,3,Complete Darkness (0–5 lux),3-1-2,space,1.1971,0.1909
Kiran,Run2,75.327,S,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,76.8342,I,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,78.3401,U,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,79.8445,M,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,81.349,I,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,82.8551,F,3,Complete Darkness (0–5 lux),3-1-2,space,0.0,0.1834
Kiran,Run2,84.3573,B,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,85.8609,R,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,87.3709,J,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,88.8787,G,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,90.3894,V,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,91.9,K,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,93.4103,R,3,Complete Darkness (0–5 lux),3-1-2,,,
Kiran,Run2,94.916,D,3,Complete Darkness (0–5 lux),3-1-2,,,
