Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Kiran,Run1,0.002,D,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,1.5121,B,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,3.0238,L,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,4.5282,H,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,6.0339,S,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,7.5376,M,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,9.0442,S,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,10.5461,W,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,12.0535,M,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,13.5572,B,3,Rather Dark (10–50 lux),3-1-2,space,0.8548,0.0952
Kiran,Run1,15.0606,V,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,16.5641,X,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,18.069,B,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,19.5729,I,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,21.0812,H,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,22.5841,A,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,24.0943,G,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,25.6064,H,3,Rather Dark (10–50 lux),3-1-2,space,0.7832,0.1393
Kiran,Run1,27.1141,C,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,28.6199,K,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,30.1309,D,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,31.6392,M,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,33.1455,H,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,34.6464,D,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,36.1562,B,3,Rather Dark (10–50 lux),3-1-2,space,0.5168,0.189
Kiran,Run1,37.664,L,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,39.1743,O,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,40.684,F,3,Rather Dark (10–50 lux),3-1-2,,,
Kiran,Run1,42.1888,R,3,Rather Dark (10–50 lux),3-1-2,,,
