Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Krishna_1,Run1,0.0025,Z,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,1.5044,Y,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,3.0102,Q,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,4.5141,I,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,6.024,X,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,7.5349,A,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,9.0404,T,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,10.5437,X,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,12.0475,W,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,13.5487,E,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,15.0506,Y,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,16.5592,T,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,18.0657,J,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,19.568,Y,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,21.074,T,3,Rather Bright (300–500 lux),3-2-1,space,0.2345,0.1071
Krishna_1,Run1,22.5807,W,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,24.0904,J,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,25.5993,T,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,27.1054,O,3,Rather Bright (300–500 lux),3-2-1,space,0.3353,0.1371
Krishna_1,Run1,28.6086,U,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,30.1118,A,3,Rather Bright (300–500 lux),3-2-1,space,1.2558,0.1499
Krishna_1,Run1,31.613,T,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,33.1186,U,3,Rather Bright (300–500 lux),3-2-1,space,1.3105,0.1797
Krishna_1,Run1,34.6206,M,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,36.1304,V,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,37.6404,O,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,39.1455,H,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,40.6574,Y,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,42.1628,O,3,Rather Bright (300–500 lux),3-2-1,space,1.3765,
Krishna_1,Run1,43.6656,O,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,45.1689,X,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,46.6737,S,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,48.1828,T,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,49.6881,W,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,51.1994,O,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,52.7017,K,3,Rather Bright (300–500 lux),3-2-1,,,
Krishna_1,Run1,54.213,I,3,Rather Bright (300–500 lux),3-2-1,,,
