Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Krishna_1,Run3,0.002,B,3,Rather Dark (10–50 lux),3-2-1,space,0.9923,0.1066
Krishna_1,Run3,1.5066,Q,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,3.0108,E,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,4.513,F,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,6.0216,Y,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,7.5279,E,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,9.0329,L,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,10.5374,V,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,12.0493,O,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,13.5533,Z,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,15.0616,D,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,16.563,O,3,Rather Dark (10–50 lux),3-2-1,space,1.4061,
Krishna_1,Run3,18.0746,I,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,19.5837,D,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,21.0891,U,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,22.5972,S,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,24.1066,D,3,Rather Dark (10–50 lux),3-2-1,space,0.9916,0.1586
Krishna_1,Run3,25.6176,T,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,27.1224,J,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,28.6283,X,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,30.1352,R,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,31.6394,J,3,Rather Dark (10–50 lux),3-2-1,space,1.4182,
Krishna_1,Run3,33.1427,E,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,34.6489,T,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,36.1551,I,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,37.66,A,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,39.17,J,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,40.6816,S,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,42.1877,X,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,43.6935,H,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,45.1977,A,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,46.7013,F,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,48.2097,O,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,49.7119,E,3,Rather Dark (10–50 lux),3-2-1,,,
Krishna_1,Run3,51.2194,F,3,Rather Dark (10–50 lux),3-2-1,,,
