Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Loui_2,Run4,0.0042,X,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,1.5084,C,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,3.0152,N,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,4.5233,K,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,6.0282,N,2,Rather Bright (300–500 lux),2-1-3,space,0.9908,0.2253
Loui_2,Run4,7.5353,X,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,9.0485,M,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,10.5526,C,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,12.063,A,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,13.5754,C,2,Rather Bright (300–500 lux),2-1-3,space,1.2446,
Loui_2,Run4,15.0814,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,16.5853,M,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,18.0928,L,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,19.5973,Y,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,21.1106,L,2,Rather Bright (300–500 lux),2-1-3,space,1.2558,0.2382
Loui_2,Run4,22.6186,P,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,24.13,R,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,25.6429,P,2,Rather Bright (300–500 lux),2-1-3,space,0.9652,0.2122
Loui_2,Run4,27.1573,D,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,28.6599,Z,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,30.1671,U,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,31.6702,X,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,33.1832,Z,2,Rather Bright (300–500 lux),2-1-3,space,1.1378,0.2528
Loui_2,Run4,34.6965,S,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,36.2101,O,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,37.7172,G,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,39.2223,N,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,40.7273,I,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,42.2358,N,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,43.7443,P,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,45.2505,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,46.7543,Y,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,48.2651,H,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,49.7718,X,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,51.2757,H,2,Rather Bright (300–500 lux),2-1-3,space,1.1955,0.2433
Loui_2,Run4,52.7833,C,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,54.2917,U,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,55.8013,O,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,57.3121,I,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,58.8173,T,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,60.3234,I,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,61.8331,M,2,Rather Bright (300–500 lux),2-1-3,space,0.0649,0.2225
Loui_2,Run4,63.339,B,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,64.8473,D,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,66.3535,P,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,67.8647,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,69.3726,P,2,Rather Bright (300–500 lux),2-1-3,space,1.1884,0.2663
Loui_2,Run4,70.8833,F,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,72.3922,E,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,73.8991,K,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,75.4019,U,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,76.9132,M,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,78.4175,V,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,79.9271,M,2,Rather Bright (300–500 lux),2-1-3,space,1.3111,
Loui_2,Run4,81.4308,D,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,82.9345,R,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,84.4473,O,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,85.9559,R,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,87.4616,O,2,Rather Bright (300–500 lux),2-1-3,space,1.1002,0.1716
Loui_2,Run4,88.971,P,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,90.4846,M,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,91.9965,V,2,Rather Bright (300–500 lux),2-1-3,,,
Loui_2,Run4,93.5074,I,2,Rather Bright (300–500 lux),2-1-3,,,
