Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Loui_1,Run1,0.0221,N,2,Complete Darkness (0–5 lux),2-1-3,space,1.3383,0.1253
Loui_1,Run1,1.5333,T,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,3.0426,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,4.5526,I,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,6.0642,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,7.5736,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,9.0878,Q,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,10.6011,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,12.1085,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,13.6184,E,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,15.128,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,16.6387,E,2,Complete Darkness (0–5 lux),2-1-3,space,0.8169,0.1725
Loui_1,Run1,18.1467,T,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,19.6601,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,21.1656,Y,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,22.6712,F,2,Complete Darkness (0–5 lux),2-1-3,space,1.1268,0.149
Loui_1,Run1,24.1788,Q,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,25.6903,T,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,27.1948,B,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,28.7058,Y,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,30.2151,B,2,Complete Darkness (0–5 lux),2-1-3,space,0.9701,0.1599
Loui_1,Run1,31.7184,R,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,33.2206,P,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,34.7304,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,36.2412,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,37.7469,S,2,Complete Darkness (0–5 lux),2-1-3,space,0.6312,0.1744
Loui_1,Run1,39.2765,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,40.7785,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,42.2883,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,43.793,C,2,Complete Darkness (0–5 lux),2-1-3,space,1.0254,0.1829
Loui_1,Run1,45.3046,J,2,Complete Darkness (0–5 lux),2-1-3,space,1.1828,0.1595
Loui_1,Run1,46.8117,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,48.3245,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,49.8341,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,51.3449,X,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,52.8464,M,2,Complete Darkness (0–5 lux),2-1-3,space,1.2437,0.1364
Loui_1,Run1,54.3599,N,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,55.8737,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,57.3837,U,2,Complete Darkness (0–5 lux),2-1-3,space,0.2016,0.1287
Loui_1,Run1,58.8914,R,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,60.4016,U,2,Complete Darkness (0–5 lux),2-1-3,space,0.7939,0.1497
Loui_1,Run1,61.9145,T,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,63.4284,X,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,64.9378,R,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,66.4429,K,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,67.9502,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,69.4582,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,70.9666,Q,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,72.4702,K,2,Complete Darkness (0–5 lux),2-1-3,space,0.9767,0.1728
Loui_1,Run1,73.9767,Q,2,Complete Darkness (0–5 lux),2-1-3,space,1.3476,
Loui_1,Run1,75.49,L,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,77.0023,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,78.5138,L,2,Complete Darkness (0–5 lux),2-1-3,space,0.8579,0.1592
Loui_1,Run1,80.0251,M,2,Complete Darkness (0–5 lux),2-1-3,space,1.0474,0.1588
Loui_1,Run1,81.537,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Loui_1,Run1,83.0443,O,2,Complete Darkness (0–5 lux),2-1-3,,,
