Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Loui_2,Run3,0.002,H,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,1.512,B,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,3.0153,P,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,4.5296,C,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,6.041,N,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,7.5452,O,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,9.0489,N,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,10.551,J,2,Low Light (≈200 lux),2-1-3,space,0.2658,0.1795
Loui_2,Run3,12.0619,A,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,13.5686,U,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,15.0734,X,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,16.5814,Q,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,18.0902,X,2,Low Light (≈200 lux),2-1-3,space,1.1979,0.2325
Loui_2,Run3,19.6,H,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,21.1064,V,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,22.612,C,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,24.1181,T,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,25.6292,C,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,27.1364,Y,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,28.641,Q,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,30.155,A,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,31.6595,H,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,33.1701,C,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,34.6788,V,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,36.1822,K,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,37.6918,U,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,39.1977,K,2,Low Light (≈200 lux),2-1-3,space,1.264,
Loui_2,Run3,40.7112,Q,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,42.2145,M,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,43.7207,A,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,45.2322,O,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,46.7444,L,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,48.2526,U,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,49.765,N,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,51.2753,S,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,52.7869,N,2,Low Light (≈200 lux),2-1-3,space,1.3899,
Loui_2,Run3,54.2981,K,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,55.8035,A,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,57.3105,E,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,58.8161,O,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,60.3205,D,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,61.8305,O,2,Low Light (≈200 lux),2-1-3,space,1.1488,0.2242
Loui_2,Run3,63.3369,T,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,64.8433,F,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,66.3499,V,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,67.862,S,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,69.368,F,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,70.8777,O,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,72.3839,F,2,Low Light (≈200 lux),2-1-3,space,1.1155,0.2247
Loui_2,Run3,73.888,E,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,75.3966,G,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,76.9029,E,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,78.4162,R,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,79.9218,P,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,81.436,Z,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,82.942,K,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,84.4512,Z,2,Low Light (≈200 lux),2-1-3,space,1.3436,
Loui_2,Run3,85.9592,W,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,87.467,H,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,88.9754,Q,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,90.488,G,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,92.0016,R,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,93.5065,Q,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,95.0117,C,2,Low Light (≈200 lux),2-1-3,space,0.0523,0.344
Loui_2,Run3,96.5224,Q,2,Low Light (≈200 lux),2-1-3,space,1.269,
Loui_2,Run3,98.0288,K,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,99.5332,G,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,101.0446,V,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,102.5518,H,2,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,104.057,V,2,Low Light (≈200 lux),2-1-3,space,1.0299,0.2027
Loui_2,Run3,106.8722,C,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,108.3814,Z,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,109.8895,O,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,111.3933,I,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,112.8985,A,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,114.4001,V,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,115.9019,V,1,Low Light (≈200 lux),2-1-3,space,0.9078,0.2378
Loui_2,Run3,117.4141,G,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,118.9245,I,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,120.4363,M,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,121.9444,W,1,Low Light (≈200 lux),2-1-3,,,
Loui_2,Run3,123.4547,W,1,Low Light (≈200 lux),2-1-3,space,1.1163,0.2128
