Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Mallika_2-final,Run4,0.001,J,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,1.6729,H,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,3.3443,D,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,5.0214,M,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,6.6927,J,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,8.3674,E,3,Low Light (≈200 lux),3-2-1,space,0.3794,0.1084
Mallika_2-final,Run4,10.0451,M,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,11.7178,Y,3,Low Light (≈200 lux),3-2-1,space,0.1625,0.1501
Mallika_2-final,Run4,13.3947,D,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,15.0656,O,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,16.7399,C,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,18.4111,T,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,20.084,O,3,Low Light (≈200 lux),3-2-1,space,0.8955,0.2317
Mallika_2-final,Run4,21.7561,P,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,23.4336,H,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,25.108,V,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,26.7859,N,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,28.457,K,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,30.1338,V,3,Low Light (≈200 lux),3-2-1,space,1.2495,0.247
Mallika_2-final,Run4,31.8102,T,3,Low Light (≈200 lux),3-2-1,space,1.4797,0.1601
Mallika_2-final,Run4,33.484,E,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,35.1531,G,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,36.8207,K,3,Low Light (≈200 lux),3-2-1,space,0.0672,0.1625
Mallika_2-final,Run4,38.49,E,3,Low Light (≈200 lux),3-2-1,space,1.602,
Mallika_2-final,Run4,40.1669,S,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,41.8401,U,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,43.5119,A,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,45.1872,U,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,46.858,U,3,Low Light (≈200 lux),3-2-1,space,1.5672,
Mallika_2-final,Run4,48.5314,N,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,50.2091,J,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,51.8865,Q,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,53.5639,M,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,55.2344,T,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,56.9041,G,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,58.5747,F,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,60.246,T,3,Low Light (≈200 lux),3-2-1,space,1.2817,0.1951
Mallika_2-final,Run4,61.9208,O,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,63.5942,F,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,65.2631,M,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,66.9381,J,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,68.6113,W,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,70.2828,R,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,71.9555,J,3,Low Light (≈200 lux),3-2-1,space,1.2566,0.214
Mallika_2-final,Run4,73.6287,E,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,75.3031,I,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,76.9708,K,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,78.6478,N,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,80.3244,I,3,Low Light (≈200 lux),3-2-1,space,1.0725,0.2473
Mallika_2-final,Run4,81.9952,Z,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,83.665,T,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,85.3339,V,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,87.0079,M,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,88.6823,Z,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,90.355,V,3,Low Light (≈200 lux),3-2-1,space,1.6424,
Mallika_2-final,Run4,92.0303,M,3,Low Light (≈200 lux),3-2-1,space,1.4992,
Mallika_2-final,Run4,93.7002,Z,3,Low Light (≈200 lux),3-2-1,space,1.3922,0.1926
Mallika_2-final,Run4,95.3712,Y,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,97.0402,A,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,98.7081,F,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,100.3779,S,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,102.0463,Q,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,103.7191,L,3,Low Light (≈200 lux),3-2-1,,,
Mallika_2-final,Run4,105.3928,B,3,Low Light (≈200 lux),3-2-1,,,
