Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Mallika_2-final,Run2,0.001,N,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,1.6701,H,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,3.3472,T,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,5.0212,E,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,6.6903,W,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,8.3618,M,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,10.0309,F,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,11.7008,T,3,Rather Dark (10–50 lux),3-2-1,space,1.3086,0.1933
Mallika_2-final,Run2,13.3751,Z,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,15.0464,Y,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,16.7217,T,3,Rather Dark (10–50 lux),3-2-1,space,1.5852,
Mallika_2-final,Run2,18.3914,U,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,20.0606,A,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,21.7371,C,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,23.4133,J,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,25.0873,G,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,26.7553,J,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,28.4235,P,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,30.096,B,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,31.7724,P,3,Rather Dark (10–50 lux),3-2-1,space,1.4454,0.1716
Mallika_2-final,Run2,33.4442,P,3,Rather Dark (10–50 lux),3-2-1,space,1.4179,0.1073
Mallika_2-final,Run2,35.1201,L,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,36.795,V,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,38.4723,J,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,40.1462,W,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,41.8201,M,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,43.4923,B,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,45.1608,W,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,46.8304,L,3,Rather Dark (10–50 lux),3-2-1,space,0.0651,0.1174
Mallika_2-final,Run2,48.5021,I,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,50.1728,P,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,51.8441,O,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,53.5172,I,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,55.1839,C,3,Rather Dark (10–50 lux),3-2-1,space,0.2732,0.1801
Mallika_2-final,Run2,56.8531,V,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,58.5302,D,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,60.206,N,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,61.8841,B,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,63.5567,X,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,65.2284,L,3,Rather Dark (10–50 lux),3-2-1,,,
Mallika_2-final,Run2,66.8978,R,3,Rather Dark (10–50 lux),3-2-1,,,
