Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Mallika_final_3,Run1,0.002,D,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,1.6795,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,3.3576,J,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,5.0267,P,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,6.6957,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,8.3683,J,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,10.036,Q,3,Complete Darkness (0–5 lux),3-2-1,space,0.2532,0.1287
Mallika_final_3,Run1,11.7097,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,13.3805,J,3,Complete Darkness (0–5 lux),3-2-1,space,0.1146,0.1581
Mallika_final_3,Run1,15.0558,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,16.7309,Q,3,Complete Darkness (0–5 lux),3-2-1,space,0.4322,0.0937
Mallika_final_3,Run1,18.409,N,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,20.0768,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,21.7519,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,23.4292,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,25.1048,T,3,Complete Darkness (0–5 lux),3-2-1,space,0.1298,0.109
Mallika_final_3,Run1,26.7734,I,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,28.4441,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,30.1189,T,3,Complete Darkness (0–5 lux),3-2-1,space,0.3092,0.1393
Mallika_final_3,Run1,31.7897,K,3,Complete Darkness (0–5 lux),3-2-1,space,0.1709,0.1291
Mallika_final_3,Run1,33.4661,V,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,35.1357,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,36.8059,H,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,38.4812,V,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,40.1533,D,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,41.8282,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,43.499,P,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,45.1744,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,46.8453,R,3,Complete Darkness (0–5 lux),3-2-1,space,1.3088,0.1928
Mallika_final_3,Run1,48.5189,F,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,50.1894,J,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,51.8619,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,53.5317,K,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,55.2064,V,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,56.8811,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,58.5531,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,60.2221,V,3,Complete Darkness (0–5 lux),3-2-1,,,
Mallika_final_3,Run1,61.8969,R,3,Complete Darkness (0–5 lux),3-2-1,,,
