Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
nagaraju-1,Run4,0.004,L,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,1.6743,J,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,3.3468,P,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,5.0206,M,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,6.6915,P,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,8.3639,P,3,Rather Bright (300–500 lux),3-1-2,space,1.3049,0.1181
nagaraju-1,Run4,10.036,L,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,11.7106,Q,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,13.3849,N,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,15.0638,Q,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,16.7362,G,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,18.4076,B,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,20.0796,Q,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,21.7497,X,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,23.4213,F,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,25.0995,Y,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,26.7779,Z,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,28.4505,W,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,30.1289,Y,3,Rather Bright (300–500 lux),3-1-2,space,1.5501,0.1086
nagaraju-1,Run4,31.804,M,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,33.4775,D,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,35.153,J,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,36.8285,Y,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,38.502,D,3,Rather Bright (300–500 lux),3-1-2,space,1.6609,
nagaraju-1,Run4,40.1774,M,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,41.8509,E,3,Rather Bright (300–500 lux),3-1-2,space,0.6651,0.0961
nagaraju-1,Run4,43.526,K,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,45.1987,A,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,46.8724,K,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,48.5506,E,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,50.2278,R,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,51.8994,M,3,Rather Bright (300–500 lux),3-1-2,space,1.4697,0.1283
nagaraju-1,Run4,53.5766,E,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,55.2563,J,3,Rather Bright (300–500 lux),3-1-2,space,1.3744,0.1177
nagaraju-1,Run4,56.9328,I,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,58.6086,Q,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,60.2821,J,3,Rather Bright (300–500 lux),3-1-2,space,1.6392,
nagaraju-1,Run4,61.9581,L,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,63.6358,Q,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,65.3046,V,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,66.9761,G,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,68.6491,E,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,70.3262,M,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,72.0072,A,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,73.6858,P,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,75.3621,D,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,77.0367,Y,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,78.7131,G,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,80.3848,D,3,Rather Bright (300–500 lux),3-1-2,space,1.3282,0.109
nagaraju-1,Run4,82.0591,A,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,83.7389,F,3,Rather Bright (300–500 lux),3-1-2,,,
nagaraju-1,Run4,85.4151,W,3,Rather Bright (300–500 lux),3-1-2,,,
