Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Nikhil_2,Run3,0.005,W,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,1.6754,P,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,3.3493,K,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,5.0242,E,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,6.6965,T,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,8.3743,U,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,10.055,M,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,11.7303,J,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,13.4065,K,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,15.0795,Z,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,16.7603,K,2,Rather Dark (10–50 lux),2-3-1,space,1.2997,0.1943
Nikhil_2,Run3,18.4405,C,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,20.1152,Y,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,21.7866,P,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,23.4572,Y,2,Rather Dark (10–50 lux),2-3-1,space,1.4671,
Nikhil_2,Run3,25.1276,D,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,26.8066,L,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,28.4836,E,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,30.1565,R,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,31.8333,E,2,Rather Dark (10–50 lux),2-3-1,space,0.9712,0.2786
Nikhil_2,Run3,33.5135,W,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,35.1885,K,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,36.8663,O,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,38.5459,X,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,40.2155,V,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,41.8864,L,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,43.5642,X,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,45.2417,L,2,Rather Dark (10–50 lux),2-3-1,space,0.0,0.2569
Nikhil_2,Run3,46.9155,R,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,48.5901,E,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,50.2607,X,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,51.9384,O,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,53.6183,G,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,55.2932,O,2,Rather Dark (10–50 lux),2-3-1,space,1.1612,0.2274
Nikhil_2,Run3,56.9711,I,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,58.649,S,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,60.3276,R,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,62.0028,S,2,Rather Dark (10–50 lux),2-3-1,space,0.971,0.2994
Nikhil_2,Run3,63.6774,Y,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,65.3553,V,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,67.031,T,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,68.7028,V,2,Rather Dark (10–50 lux),2-3-1,space,1.2809,0.2551
Nikhil_2,Run3,70.3826,B,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,72.0555,R,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,73.7265,P,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,75.4053,X,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,77.0816,W,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,78.7597,P,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,80.4353,Z,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,82.1116,T,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,83.7826,A,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,85.4572,M,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,87.1277,A,2,Rather Dark (10–50 lux),2-3-1,space,0.9678,0.2977
Nikhil_2,Run3,88.8025,I,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,90.4794,E,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,92.1515,N,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,93.8312,T,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,95.5082,D,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,97.1871,G,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,98.8676,Z,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,100.5467,R,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,102.2246,N,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,103.9013,R,2,Rather Dark (10–50 lux),2-3-1,space,1.1769,0.2864
Nikhil_2,Run3,105.5826,X,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,107.2614,C,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,108.9329,P,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,110.6074,T,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,112.2872,Q,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,113.9572,S,2,Rather Dark (10–50 lux),2-3-1,,,
Nikhil_2,Run3,115.6373,Q,2,Rather Dark (10–50 lux),2-3-1,space,1.1961,0.296
Nikhil_2,Run3,125.3833,W,3,Rather Dark (10–50 lux),2-3-1,,,
