Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Nikhil_2,Run2,0.0042,N,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,1.6839,I,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,3.3574,A,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,5.0339,O,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,6.7106,G,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,8.3794,I,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,10.0582,N,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,11.7354,U,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,13.4082,E,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,15.0862,I,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,16.7624,Q,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,18.4326,R,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,20.1097,Q,2,Rather Bright (300–500 lux),2-3-1,space,1.0647,0.2353
Nikhil_2,Run2,21.7883,H,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,23.4651,R,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,25.1387,H,2,Rather Bright (300–500 lux),2-3-1,space,1.3258,0.2697
Nikhil_2,Run2,26.8123,Y,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,28.4914,D,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,30.1709,Y,2,Rather Bright (300–500 lux),2-3-1,space,1.361,0.2555
Nikhil_2,Run2,31.8443,G,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,33.5174,S,2,Rather Bright (300–500 lux),2-3-1,,,
Nikhil_2,Run2,35.1913,X,2,Rather Bright (300–500 lux),2-3-1,,,
