Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Raghav_1,Run2,0.0039,L,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,1.5124,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,3.0243,G,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,4.529,S,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,6.0409,V,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,7.5459,L,1,Rather Dark (10–50 lux),1-2-3,space,1.4919,
Raghav_1,Run2,9.0533,P,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,10.5671,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,12.0716,H,1,Rather Dark (10–50 lux),1-2-3,space,0.9284,0.1297
Raghav_1,Run2,13.5814,R,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,15.089,Q,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,16.5997,A,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,18.1081,V,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,19.6174,T,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,21.1215,T,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,22.6311,W,1,Rather Dark (10–50 lux),1-2-3,space,0.1386,0.1096
Raghav_1,Run2,24.139,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,25.6465,N,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,27.1523,R,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,28.6648,R,1,Rather Dark (10–50 lux),1-2-3,space,1.1484,0.0956
Raghav_1,Run2,30.1709,L,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,31.6818,X,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,33.1922,S,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,34.7029,G,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,36.2079,Q,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,37.7179,I,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,39.226,C,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,40.7349,P,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,42.2458,Z,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,43.7493,F,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,45.2614,N,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,46.7687,B,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,48.2816,B,1,Rather Dark (10–50 lux),1-2-3,space,1.2002,0.0963
Raghav_1,Run2,49.7933,J,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,51.3013,D,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,52.8061,D,1,Rather Dark (10–50 lux),1-2-3,space,1.1806,0.0952
Raghav_1,Run2,54.3192,I,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,55.8325,R,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,57.3398,G,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,58.8525,F,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,60.3618,O,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,61.8661,D,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,63.3715,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,64.8769,L,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,66.3834,V,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,67.8932,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,69.4059,H,1,Rather Dark (10–50 lux),1-2-3,space,0.7787,0.0954
Raghav_1,Run2,70.9145,U,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,72.4227,A,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,73.9268,C,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,75.4332,M,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,76.9428,M,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,78.452,X,1,Rather Dark (10–50 lux),1-2-3,space,0.286,0.0969
Raghav_1,Run2,79.956,P,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,81.4626,P,1,Rather Dark (10–50 lux),1-2-3,space,1.3033,0.1067
Raghav_1,Run2,82.973,S,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,84.4794,T,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,85.992,R,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,87.4957,R,1,Rather Dark (10–50 lux),1-2-3,space,1.1414,0.1072
Raghav_1,Run2,89.0023,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,90.5147,Y,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,92.0279,H,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,93.5383,J,1,Rather Dark (10–50 lux),1-2-3,space,0.2265,0.1179
Raghav_1,Run2,95.0424,L,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,96.5543,C,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,98.0602,T,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,99.5679,D,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,101.0726,D,1,Rather Dark (10–50 lux),1-2-3,space,1.1501,0.1185
Raghav_1,Run2,102.583,W,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,104.0915,V,1,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,127.4343,O,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,128.9475,P,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,130.456,T,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,131.9667,J,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,133.4762,M,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,134.9847,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,136.491,F,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,137.9998,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,139.514,E,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,141.018,B,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,142.5271,A,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,144.0399,E,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,145.5431,U,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,147.0558,C,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,148.5606,U,2,Rather Dark (10–50 lux),1-2-3,space,1.0123,0.1171
Raghav_1,Run2,150.071,N,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,151.585,X,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,153.091,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,154.5985,X,2,Rather Dark (10–50 lux),1-2-3,space,1.3504,0.1488
Raghav_1,Run2,156.1134,H,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,157.6216,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,159.1272,K,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,160.6312,R,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,162.1367,W,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,163.6423,K,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,165.147,R,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,166.655,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,168.1663,R,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,169.676,A,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,171.1877,J,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,172.694,V,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,174.1971,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,175.6991,Q,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,177.2041,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,178.7178,I,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,180.2225,M,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,181.7348,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,183.2449,H,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,184.7508,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,186.2592,A,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,187.7642,M,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,189.2751,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,190.779,P,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,192.2879,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,193.8004,Q,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,195.3049,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,196.8142,F,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,198.3199,X,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,199.8277,S,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,201.3392,J,2,Rather Dark (10–50 lux),1-2-3,space,1.2139,0.1834
Raghav_1,Run2,202.8459,P,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,204.3589,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,205.8682,H,2,Rather Dark (10–50 lux),1-2-3,space,1.3228,0.1392
Raghav_1,Run2,207.3759,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,208.8867,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,210.3931,G,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,211.9023,R,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,213.4116,I,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,214.921,K,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,216.4348,D,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,217.9426,Z,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,219.4519,D,2,Rather Dark (10–50 lux),1-2-3,space,1.0541,0.1591
Raghav_1,Run2,220.9567,V,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,222.4586,T,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,223.9627,A,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,225.4657,X,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,226.9751,L,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,228.4818,X,2,Rather Dark (10–50 lux),1-2-3,space,1.3606,
Raghav_1,Run2,229.9941,T,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,231.5061,I,2,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,368.9119,T,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,370.4127,X,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,371.9183,S,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,373.4312,L,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,374.9379,O,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,376.4486,Q,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,377.9577,N,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,379.4704,X,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,380.9828,Q,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,382.4929,U,3,Rather Dark (10–50 lux),1-2-3,space,0.0,0.1075
Raghav_1,Run2,383.9968,W,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,385.5093,R,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,387.0231,I,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,388.5269,Y,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,390.031,H,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,391.5407,J,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,393.0488,T,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,394.5529,C,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,396.0583,J,3,Rather Dark (10–50 lux),1-2-3,,,
Raghav_1,Run2,397.566,Q,3,Rather Dark (10–50 lux),1-2-3,,,
