Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Raghav_1,Run3,0.0042,W,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,1.5153,D,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,3.0239,B,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,4.532,F,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,6.0332,E,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,7.5373,Y,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,9.0513,Z,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,10.5551,C,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,12.0642,C,1,Rather Bright (300–500 lux),1-2-3,space,1.0566,0.1075
Raghav_1,Run3,13.5779,L,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,15.081,S,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,16.5915,T,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,18.105,X,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,19.61,P,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,21.1135,W,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,22.6225,O,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,24.1235,M,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,25.6369,Q,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,27.1399,W,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,28.6498,I,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,30.1588,Z,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,31.6679,N,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,33.1804,N,1,Rather Bright (300–500 lux),1-2-3,space,0.8496,0.1081
Raghav_1,Run3,34.6869,I,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,36.1934,R,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,37.6988,T,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,39.2058,W,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,40.7122,W,1,Rather Bright (300–500 lux),1-2-3,space,0.8578,0.129
Raghav_1,Run3,42.2246,I,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,43.729,Z,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,45.2415,Z,1,Rather Bright (300–500 lux),1-2-3,space,1.0855,0.1069
Raghav_1,Run3,46.7462,O,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,48.2515,U,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,49.755,J,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,51.261,C,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,52.7668,D,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,54.2749,G,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,55.7794,A,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,57.2911,B,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,58.8,B,1,Rather Bright (300–500 lux),1-2-3,space,1.0799,0.1497
Raghav_1,Run3,60.3124,L,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,61.8226,W,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,63.33,G,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,64.842,J,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,66.3477,E,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,67.8553,G,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,69.3642,J,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,70.8697,Y,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,72.374,T,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,73.8851,T,1,Rather Bright (300–500 lux),1-2-3,space,0.8472,0.1323
Raghav_1,Run3,75.3878,O,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,76.8998,V,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,78.4073,V,1,Rather Bright (300–500 lux),1-2-3,space,0.8948,0.1386
Raghav_1,Run3,79.9173,D,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,81.4239,N,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,82.9322,J,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,84.4432,E,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,85.9498,M,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,87.456,H,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,88.9662,H,1,Rather Bright (300–500 lux),1-2-3,space,0.638,0.1614
Raghav_1,Run3,90.472,E,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,91.9807,T,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,93.4862,A,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,94.9921,A,1,Rather Bright (300–500 lux),1-2-3,space,0.7501,0.1724
Raghav_1,Run3,96.4978,V,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,98.0112,C,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,99.5219,C,1,Rather Bright (300–500 lux),1-2-3,space,0.979,0.1481
Raghav_1,Run3,101.0273,D,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,102.5314,Y,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,104.0424,S,1,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,107.2514,P,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,108.7609,S,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,110.2663,G,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,111.774,Z,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,113.2819,R,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,114.7883,Z,2,Rather Bright (300–500 lux),1-2-3,space,1.3855,
Raghav_1,Run3,116.2933,R,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,117.8002,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,119.3103,X,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,120.8139,P,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,122.3239,X,2,Rather Bright (300–500 lux),1-2-3,space,1.2404,0.1497
Raghav_1,Run3,123.8353,F,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,125.3413,E,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,126.8483,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,128.3534,N,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,129.8651,D,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,131.3783,N,2,Rather Bright (300–500 lux),1-2-3,space,1.0573,0.1405
Raghav_1,Run3,132.8902,O,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,134.3969,C,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,135.9,D,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,137.4112,C,2,Rather Bright (300–500 lux),1-2-3,space,1.1182,0.1607
Raghav_1,Run3,138.9167,A,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,140.4262,N,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,141.9277,Y,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,143.4376,N,2,Rather Bright (300–500 lux),1-2-3,space,1.1256,0.162
Raghav_1,Run3,144.9407,V,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,146.4505,Y,2,Rather Bright (300–500 lux),1-2-3,,,
Raghav_1,Run3,147.9575,Q,2,Rather Bright (300–500 lux),1-2-3,,,
