Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Rounik-Trial-4,Run1,0.0042,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,2.5099,E,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,5.0142,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,7.5266,Q,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,10.0332,J,2,Complete Darkness (0–5 lux),2-1-3,space,2.239,0.1384
Rounik-Trial-4,Run1,12.542,X,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,15.0462,B,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,17.5553,U,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,20.0634,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,22.5714,U,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,25.0752,A,2,Complete Darkness (0–5 lux),2-1-3,space,0.6324,0.1766
Rounik-Trial-4,Run1,27.5801,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,30.0894,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,32.594,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,35.1015,R,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,37.6147,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,40.1275,V,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,42.6407,L,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,45.1482,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,47.6618,I,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,50.1753,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,52.6806,I,2,Complete Darkness (0–5 lux),2-1-3,space,1.4781,0.1937
Rounik-Trial-4,Run1,55.1851,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,57.6933,G,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,60.2015,L,2,Complete Darkness (0–5 lux),2-1-3,space,0.8841,0.1799
Rounik-Trial-4,Run1,62.7097,G,2,Complete Darkness (0–5 lux),2-1-3,space,1.6449,0.1605
Rounik-Trial-4,Run1,65.216,W,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,67.7254,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,70.2363,T,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,72.7455,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,75.258,T,2,Complete Darkness (0–5 lux),2-1-3,space,1.595,0.1625
Rounik-Trial-4,Run1,77.7643,J,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,80.2773,S,2,Complete Darkness (0–5 lux),2-1-3,space,0.6734,0.1381
Rounik-Trial-4,Run1,82.7851,A,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,85.2942,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,87.8035,S,2,Complete Darkness (0–5 lux),2-1-3,space,1.449,0.1707
Rounik-Trial-4,Run1,90.3093,K,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,92.8225,Z,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,95.3258,A,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,97.8372,V,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,100.339,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,102.8449,M,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,105.3491,S,2,Complete Darkness (0–5 lux),2-1-3,space,1.4653,0.202
Rounik-Trial-4,Run1,107.8625,I,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,110.3719,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,112.8751,S,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,115.3821,X,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,117.8886,M,2,Complete Darkness (0–5 lux),2-1-3,space,1.6514,0.2472
Rounik-Trial-4,Run1,120.3943,X,2,Complete Darkness (0–5 lux),2-1-3,space,1.4743,0.2271
Rounik-Trial-4,Run1,122.9033,F,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,125.4097,E,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,127.916,W,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,130.4171,A,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,132.9189,U,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,135.4206,C,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,137.9273,U,2,Complete Darkness (0–5 lux),2-1-3,space,1.3912,0.1807
Rounik-Trial-4,Run1,140.43,D,2,Complete Darkness (0–5 lux),2-1-3,,,
Rounik-Trial-4,Run1,142.9332,L,2,Complete Darkness (0–5 lux),2-1-3,,,
