Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Rounik_1-1,Run2,0.0051,A,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,2.5137,Y,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,5.0232,F,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,7.5269,T,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,10.0302,D,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,12.5385,P,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,15.0429,B,2,Rather Dark (10–50 lux),2-1-3,space,2.1254,0.2046
Rounik_1-1,Run2,17.547,P,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,20.0568,V,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,22.5672,U,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,25.0712,P,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,27.5769,B,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,30.086,M,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,32.5962,B,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,35.1057,U,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,37.6139,B,2,Rather Dark (10–50 lux),2-1-3,space,2.0793,0.169
Rounik_1-1,Run2,40.1203,R,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,42.6287,P,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,45.1357,R,2,Rather Dark (10–50 lux),2-1-3,space,1.3261,0.1801
Rounik_1-1,Run2,47.6479,Q,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,50.1543,H,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,52.6645,Q,2,Rather Dark (10–50 lux),2-1-3,space,1.8691,0.1598
Rounik_1-1,Run2,55.1691,V,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,57.679,A,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,60.18,D,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,62.6921,X,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,65.196,F,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,67.7054,A,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,70.212,Q,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,72.7204,I,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,75.2247,D,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,77.7349,I,2,Rather Dark (10–50 lux),2-1-3,space,2.3801,
Rounik_1-1,Run2,80.2449,W,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,82.7564,R,2,Rather Dark (10–50 lux),2-1-3,,,
Rounik_1-1,Run2,85.2589,Y,2,Rather Dark (10–50 lux),2-1-3,,,
