Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Rupesh_1,Run3,0.003,Y,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,1.6724,B,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,3.3495,O,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,5.0214,B,2,Rather Bright (300–500 lux),2-3-1,space,0.8327,0.2554
Rupesh_1,Run3,6.6991,S,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,8.3704,B,2,Rather Bright (300–500 lux),2-3-1,space,0.7538,0.2384
Rupesh_1,Run3,10.049,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,11.7222,A,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,13.3981,B,2,Rather Bright (300–500 lux),2-3-1,space,1.2738,0.2127
Rupesh_1,Run3,15.0659,A,2,Rather Bright (300–500 lux),2-3-1,space,0.9306,0.225
Rupesh_1,Run3,16.7454,R,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,18.4188,I,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,20.097,V,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,21.7723,I,2,Rather Bright (300–500 lux),2-3-1,space,0.9172,0.1905
Rupesh_1,Run3,23.4531,E,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,25.1282,K,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,26.802,X,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,28.4806,A,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,30.1534,I,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,31.8255,H,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,33.5046,B,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,35.1835,H,2,Rather Bright (300–500 lux),2-3-1,space,0.9781,0.2355
Rupesh_1,Run3,36.8563,Y,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,38.5303,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,40.2096,K,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,41.8889,Z,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,43.5633,Q,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,45.237,T,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,46.9087,Q,2,Rather Bright (300–500 lux),2-3-1,space,1.1041,0.2358
Rupesh_1,Run3,48.5832,P,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,50.2535,R,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,51.9316,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,53.6015,R,2,Rather Bright (300–500 lux),2-3-1,space,0.9376,0.2128
Rupesh_1,Run3,55.2794,G,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,56.9601,K,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,58.6361,C,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,60.3106,K,2,Rather Bright (300–500 lux),2-3-1,space,0.7554,0.2594
Rupesh_1,Run3,61.9802,Q,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,63.649,P,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,65.3204,Q,2,Rather Bright (300–500 lux),2-3-1,space,0.94,0.2359
Rupesh_1,Run3,67.0014,P,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,68.6724,I,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,70.3491,K,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,72.0225,Z,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,73.6984,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,75.3758,J,2,Rather Bright (300–500 lux),2-3-1,space,1.3921,0.1816
Rupesh_1,Run3,77.0521,F,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,78.7323,U,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,80.4084,V,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,82.0815,C,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,83.7586,J,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,85.438,G,2,Rather Bright (300–500 lux),2-3-1,space,1.4535,0.1825
Rupesh_1,Run3,87.1096,J,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,88.7817,P,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,90.4586,W,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,92.1353,R,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,93.804,F,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,95.4745,R,2,Rather Bright (300–500 lux),2-3-1,space,0.8327,0.2448
Rupesh_1,Run3,97.1553,A,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,98.8337,L,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,100.5116,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,102.1884,Y,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,103.8643,A,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,105.5398,M,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,107.2173,K,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,108.8956,S,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,110.5735,N,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,112.2542,D,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,113.9266,V,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,115.6031,I,2,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,120.5751,J,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,122.2467,F,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,123.9233,Q,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,125.5993,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,127.2787,Y,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,128.9506,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,130.6283,R,3,Rather Bright (300–500 lux),2-3-1,space,1.5309,
Rupesh_1,Run3,132.3025,Q,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,133.9815,L,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,135.6582,S,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,137.3356,A,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,139.0086,C,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,140.6774,Q,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,142.3524,A,3,Rather Bright (300–500 lux),2-3-1,space,1.5808,
Rupesh_1,Run3,144.0321,T,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,145.7101,S,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,147.3897,N,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,149.0685,I,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,150.7431,L,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,152.4151,N,3,Rather Bright (300–500 lux),2-3-1,space,1.1926,0.2057
Rupesh_1,Run3,154.0883,A,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,155.7667,L,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,157.44,W,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,159.1142,M,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,160.7937,L,3,Rather Bright (300–500 lux),2-3-1,space,0.9613,0.2033
Rupesh_1,Run3,162.4736,S,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,164.1454,C,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,165.8161,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,167.4947,G,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,169.1683,C,3,Rather Bright (300–500 lux),2-3-1,space,1.0873,0.2452
Rupesh_1,Run3,170.8383,Q,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,172.517,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,174.1899,C,3,Rather Bright (300–500 lux),2-3-1,space,1.2524,0.2239
Rupesh_1,Run3,175.863,O,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,177.5378,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,179.2122,K,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,180.8907,R,3,Rather Bright (300–500 lux),2-3-1,space,1.3916,0.2235
Rupesh_1,Run3,182.564,W,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,184.2355,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,185.9081,R,3,Rather Bright (300–500 lux),2-3-1,space,1.3147,0.2643
Rupesh_1,Run3,187.5883,F,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,189.2625,O,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,190.9368,C,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,192.6097,A,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,194.2822,O,3,Rather Bright (300–500 lux),2-3-1,space,1.098,0.2336
Rupesh_1,Run3,195.9608,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,197.6308,I,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,199.3065,G,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,200.9831,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,202.6631,A,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,204.3373,H,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,206.0143,O,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,207.6921,A,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,209.3669,H,3,Rather Bright (300–500 lux),2-3-1,space,0.9157,0.2377
Rupesh_1,Run3,211.0457,J,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,212.7234,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,214.4003,Y,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,216.0725,W,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,217.7522,Y,3,Rather Bright (300–500 lux),2-3-1,space,1.331,0.2248
Rupesh_1,Run3,219.4301,Z,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,221.1079,L,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,222.7822,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,224.4589,E,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,226.1287,L,3,Rather Bright (300–500 lux),2-3-1,space,0.8015,0.2667
Rupesh_1,Run3,227.8024,T,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,229.4764,P,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,231.1507,B,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,232.8244,R,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,234.4974,P,3,Rather Bright (300–500 lux),2-3-1,space,1.3398,0.1628
Rupesh_1,Run3,236.1743,B,3,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,239.9785,M,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,241.6499,Z,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,243.3256,L,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,245.0024,R,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,246.6768,H,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,248.3526,H,1,Rather Bright (300–500 lux),2-3-1,space,0.8854,0.2227
Rupesh_1,Run3,250.0303,A,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,251.7115,H,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,253.382,S,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,255.0605,K,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,256.7402,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,258.4189,R,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,260.0946,G,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,261.7701,P,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,263.4452,N,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,265.1253,Z,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,266.7968,Q,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,268.4743,P,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,270.1536,J,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,271.8297,J,1,Rather Bright (300–500 lux),2-3-1,space,1.0062,0.2689
Rupesh_1,Run3,273.5008,N,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,275.175,K,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,276.8496,L,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,278.5257,O,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,280.1992,Z,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,281.8742,I,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,283.5532,I,1,Rather Bright (300–500 lux),2-3-1,space,1.164,0.2324
Rupesh_1,Run3,285.2333,Q,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,286.9095,Y,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,288.5823,H,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,290.2619,D,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,291.9393,O,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,293.6147,O,1,Rather Bright (300–500 lux),2-3-1,space,0.8935,0.2118
Rupesh_1,Run3,295.2894,U,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,296.9624,B,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,298.6383,M,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,300.3089,A,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,301.9834,P,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,303.6572,P,1,Rather Bright (300–500 lux),2-3-1,space,0.9162,0.2026
Rupesh_1,Run3,305.3375,P,1,Rather Bright (300–500 lux),2-3-1,space,0.9971,0.2344
Rupesh_1,Run3,307.0083,M,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,308.6873,D,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,310.3593,D,1,Rather Bright (300–500 lux),2-3-1,space,0.8543,0.2047
Rupesh_1,Run3,312.0396,M,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,313.7191,U,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,315.3986,U,1,Rather Bright (300–500 lux),2-3-1,space,0.7267,0.269
Rupesh_1,Run3,317.0716,P,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,318.7436,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,320.4241,W,1,Rather Bright (300–500 lux),2-3-1,space,0.9096,0.2669
Rupesh_1,Run3,322.1023,W,1,Rather Bright (300–500 lux),2-3-1,space,0.9954,0.3576
Rupesh_1,Run3,323.7793,P,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,325.4522,P,1,Rather Bright (300–500 lux),2-3-1,space,0.9437,0.2345
Rupesh_1,Run3,327.1261,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,328.7986,B,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,330.4785,M,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,332.1556,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,333.8332,Y,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,335.5126,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,337.184,H,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,338.8556,W,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,340.5331,I,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,342.2133,K,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,343.8889,U,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,345.5673,G,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,347.243,E,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,348.9164,B,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,350.5903,E,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,352.2692,E,1,Rather Bright (300–500 lux),2-3-1,space,0.7157,0.34
Rupesh_1,Run3,353.9445,V,1,Rather Bright (300–500 lux),2-3-1,,,
Rupesh_1,Run3,355.6154,U,1,Rather Bright (300–500 lux),2-3-1,,,
Difficulty Rating,4
