Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Rupesh_1,Run4,0.0032,W,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,1.6797,U,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,3.3582,A,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,5.0328,I,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,6.707,A,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,8.3776,E,2,Complete Darkness (0–5 lux),2-3-1,space,0.1498,0.2389
Rupesh_1,Run4,10.0515,F,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,11.727,H,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,13.399,U,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,15.0741,H,2,Complete Darkness (0–5 lux),2-3-1,space,1.0791,0.2328
Rupesh_1,Run4,16.7545,S,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,18.4249,Z,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,20.0997,M,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,21.7713,U,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,23.4423,T,2,Complete Darkness (0–5 lux),2-3-1,space,0.076,0.2058
Rupesh_1,Run4,25.1132,C,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,26.7892,D,2,Complete Darkness (0–5 lux),2-3-1,space,1.2849,0.2175
Rupesh_1,Run4,28.466,H,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,30.1405,S,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,31.811,R,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,33.4893,S,2,Complete Darkness (0–5 lux),2-3-1,space,1.0134,0.2372
Rupesh_1,Run4,35.1629,Q,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,36.8355,O,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,38.5089,D,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,40.1809,R,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,41.8565,U,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,43.5299,R,2,Complete Darkness (0–5 lux),2-3-1,space,0.9933,0.2679
Rupesh_1,Run4,45.2067,N,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,46.8861,C,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,48.558,N,2,Complete Darkness (0–5 lux),2-3-1,space,1.0179,0.2281
Rupesh_1,Run4,50.2301,B,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,51.9086,N,2,Complete Darkness (0–5 lux),2-3-1,space,0.9113,0.2364
Rupesh_1,Run4,53.5842,S,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,55.2566,A,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,56.9356,U,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,58.6083,F,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,60.2772,X,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,61.9553,H,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,63.631,N,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,65.3115,H,2,Complete Darkness (0–5 lux),2-3-1,space,0.9017,0.2663
Rupesh_1,Run4,66.9832,A,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,68.6595,Q,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,70.3357,L,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,72.0091,Q,2,Complete Darkness (0–5 lux),2-3-1,space,1.0851,0.2562
Rupesh_1,Run4,73.6876,X,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,75.3641,C,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,77.0406,W,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,78.7126,C,2,Complete Darkness (0–5 lux),2-3-1,space,0.9921,0.2337
Rupesh_1,Run4,80.389,N,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,82.0684,S,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,83.7407,O,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,85.4167,T,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,87.0852,O,2,Complete Darkness (0–5 lux),2-3-1,space,1.1777,0.2144
Rupesh_1,Run4,88.7604,I,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,90.4353,G,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,92.1143,B,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,93.7889,J,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,95.4608,D,2,Complete Darkness (0–5 lux),2-3-1,,,
Rupesh_1,Run4,97.1396,Z,2,Complete Darkness (0–5 lux),2-3-1,,,
