Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Rupesh_trial,Run1,0.0044,Q,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,1.6794,T,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,3.3509,W,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,5.0312,Q,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,6.7071,K,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,8.3864,Q,2,Rather Dark (10–50 lux),2-3-1,space,1.082,0.2022
Rupesh_trial,Run1,10.0608,O,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,11.7395,J,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,13.418,F,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,15.0933,M,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,16.764,O,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,18.4412,W,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,20.1124,H,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,21.7842,C,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,23.4644,Q,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,25.1385,D,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,26.8171,Q,2,Rather Dark (10–50 lux),2-3-1,space,1.1369,0.2347
Rupesh_trial,Run1,28.4878,S,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,30.1625,T,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,31.833,Z,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,33.5032,L,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,35.171,Z,2,Rather Dark (10–50 lux),2-3-1,space,1.2715,0.2417
Rupesh_trial,Run1,36.8486,H,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,38.529,A,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,40.1972,R,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,41.8674,A,2,Rather Dark (10–50 lux),2-3-1,space,0.9318,0.2806
Rupesh_trial,Run1,43.5421,R,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,45.2148,D,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,46.8882,W,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,48.5588,B,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,50.2383,T,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,51.9101,K,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,53.58,W,2,Rather Dark (10–50 lux),2-3-1,space,0.9914,0.3326
Rupesh_trial,Run1,55.2494,S,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,56.9281,W,2,Rather Dark (10–50 lux),2-3-1,space,1.3499,0.3124
Rupesh_trial,Run1,58.6022,B,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,60.2824,J,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,61.9611,S,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,63.6369,J,2,Rather Dark (10–50 lux),2-3-1,space,0.9307,0.3663
Rupesh_trial,Run1,65.3112,W,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,66.99,K,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,68.6632,C,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,70.3414,K,2,Rather Dark (10–50 lux),2-3-1,space,0.6917,0.3331
Rupesh_trial,Run1,72.0211,K,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,73.701,W,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,75.3797,P,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,77.0546,W,2,Rather Dark (10–50 lux),2-3-1,space,0.9035,0.2984
Rupesh_trial,Run1,78.731,J,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,80.4111,H,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,82.0894,A,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,83.7681,Y,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,85.4423,P,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,87.1157,H,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,88.7958,G,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,90.4731,H,2,Rather Dark (10–50 lux),2-3-1,space,0.9053,0.3402
Rupesh_trial,Run1,92.1507,C,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,93.8304,H,2,Rather Dark (10–50 lux),2-3-1,space,0.8744,0.3027
Rupesh_trial,Run1,95.5041,K,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,97.1791,Y,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,98.8526,B,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,100.5308,M,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,102.2092,B,2,Rather Dark (10–50 lux),2-3-1,space,1.1101,0.2672
Rupesh_trial,Run1,103.8903,G,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,105.5683,B,2,Rather Dark (10–50 lux),2-3-1,space,0.9279,0.3033
Rupesh_trial,Run1,107.2379,U,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,108.9131,M,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,110.5898,C,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,112.2663,H,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,113.9391,C,2,Rather Dark (10–50 lux),2-3-1,space,1.365,0.2789
Rupesh_trial,Run1,115.61,J,2,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,123.1639,P,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,124.8425,W,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,126.5214,T,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,128.1925,D,3,Rather Dark (10–50 lux),2-3-1,space,1.3249,0.268
Rupesh_trial,Run1,129.8641,B,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,131.5428,C,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,133.2212,V,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,134.9008,A,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,136.5806,W,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,138.2611,U,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,139.9376,C,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,141.6125,I,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,143.2875,U,3,Rather Dark (10–50 lux),2-3-1,space,0.9321,0.3425
Rupesh_trial,Run1,144.9624,I,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,146.6359,N,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,148.3131,I,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,149.9911,P,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,151.6682,L,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,153.3484,I,3,Rather Dark (10–50 lux),2-3-1,space,0.7877,0.3097
Rupesh_trial,Run1,155.0281,Q,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,156.7071,G,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,158.3786,B,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,160.059,P,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,161.7372,G,3,Rather Dark (10–50 lux),2-3-1,space,0.9152,0.2865
Rupesh_trial,Run1,163.4123,H,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,165.0849,R,3,Rather Dark (10–50 lux),2-3-1,,,
Rupesh_trial,Run1,166.7627,V,3,Rather Dark (10–50 lux),2-3-1,,,
