Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sagarika_1,Run5,0.001,S,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,1.5106,X,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,3.0205,A,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,4.5303,U,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,6.0333,F,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,7.5371,G,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,9.0422,U,3,Bright Light (>1000 lux),3-2-1,space,1.2042,0.2126
Sagarika_1,Run5,10.5463,A,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,12.0578,R,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,13.5673,E,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,15.0681,G,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,16.5739,A,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,18.0794,E,3,Bright Light (>1000 lux),3-2-1,space,0.3319,0.1749
Sagarika_1,Run5,19.5897,I,3,Bright Light (>1000 lux),3-2-1,space,0.497,0.1606
Sagarika_1,Run5,21.0925,J,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,22.5973,X,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,24.1006,F,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,25.6063,I,3,Bright Light (>1000 lux),3-2-1,space,1.0712,0.1946
Sagarika_1,Run5,27.1192,X,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,28.6292,F,3,Bright Light (>1000 lux),3-2-1,space,0.516,0.1579
Sagarika_1,Run5,30.1392,W,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,31.6474,N,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,33.1612,Z,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,34.6676,N,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,36.1776,O,3,Bright Light (>1000 lux),3-2-1,space,0.148,0.1808
Sagarika_1,Run5,37.6863,Z,3,Bright Light (>1000 lux),3-2-1,space,1.3661,
Sagarika_1,Run5,39.194,Q,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,40.7064,M,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,42.2103,F,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,43.7201,H,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,45.2263,P,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,46.7345,F,3,Bright Light (>1000 lux),3-2-1,space,0.9555,0.1467
Sagarika_1,Run5,48.2442,L,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,49.7487,E,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,51.2543,R,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,52.7606,A,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,54.2736,N,3,Bright Light (>1000 lux),3-2-1,,,
Sagarika_1,Run5,55.7847,A,3,Bright Light (>1000 lux),3-2-1,,,
