Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sagarika_trial,Run1,0.0297,T,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,1.5427,I,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,3.0768,L,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,4.6102,W,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,6.1463,K,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,7.6547,L,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,9.1891,E,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,10.7242,O,3,Complete Darkness (0–5 lux),3-2-1,space,0.0855,0.2
Sagarika_trial,Run1,12.2544,H,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,13.7629,T,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,15.2837,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,16.788,H,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,18.318,Y,3,Complete Darkness (0–5 lux),3-2-1,space,0.1061,0.1921
Sagarika_trial,Run1,19.8272,E,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,21.3363,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,22.8488,L,3,Complete Darkness (0–5 lux),3-2-1,space,0.1175,0.1516
Sagarika_trial,Run1,24.3816,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,25.8887,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,27.3938,E,3,Complete Darkness (0–5 lux),3-2-1,space,1.1218,0.1811
Sagarika_trial,Run1,28.9036,L,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,30.4088,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,31.9158,E,3,Complete Darkness (0–5 lux),3-2-1,space,0.2227,0.1511
Sagarika_trial,Run1,33.4478,N,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,34.9797,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,36.5067,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,38.0116,B,3,Complete Darkness (0–5 lux),3-2-1,space,0.7875,0.1491
Sagarika_trial,Run1,39.5153,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,41.025,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,42.5316,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,44.0367,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,45.5484,H,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,47.0828,D,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,48.5965,I,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,50.1015,H,3,Complete Darkness (0–5 lux),3-2-1,space,0.836,0.1622
Sagarika_trial,Run1,51.6352,Z,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,53.1421,K,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,54.6511,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,56.1625,L,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,57.6899,M,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,59.1956,Q,3,Complete Darkness (0–5 lux),3-2-1,space,0.7996,0.1611
Sagarika_trial,Run1,60.7036,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,62.2135,N,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,63.7238,M,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,65.2347,X,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,66.7389,N,3,Complete Darkness (0–5 lux),3-2-1,space,1.0131,0.1918
Sagarika_trial,Run1,68.2446,Q,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,69.749,L,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,71.2897,V,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,72.7977,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,74.3051,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,75.8386,G,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,77.3456,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,78.8568,R,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,80.3934,C,3,Complete Darkness (0–5 lux),3-2-1,space,0.1606,0.1528
Sagarika_trial,Run1,81.8981,K,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,83.4079,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,84.918,T,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,86.4294,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,87.9352,O,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,89.4428,N,3,Complete Darkness (0–5 lux),3-2-1,space,0.0438,0.1595
Sagarika_trial,Run1,90.9526,Y,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,92.4626,D,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,93.9866,U,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,95.4916,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,97.0032,D,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,98.5174,B,3,Complete Darkness (0–5 lux),3-2-1,space,1.4444,
Sagarika_trial,Run1,100.0524,P,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,101.5652,C,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,103.0784,B,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,104.583,P,3,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,180.4612,J,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,181.996,S,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,183.5021,C,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,185.0129,M,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,186.5228,E,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,188.0765,F,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,189.5819,E,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,191.0882,R,2,Complete Darkness (0–5 lux),3-2-1,space,0.0748,0.2319
Sagarika_trial,Run1,192.5984,F,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,194.1117,N,2,Complete Darkness (0–5 lux),3-2-1,space,1.1651,0.1474
Sagarika_trial,Run1,195.62,F,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,197.1572,A,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,198.6713,L,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,200.1829,R,2,Complete Darkness (0–5 lux),3-2-1,space,1.1514,0.1716
Sagarika_trial,Run1,201.6919,D,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,203.2015,A,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,204.7057,I,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,206.2188,F,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,207.7298,N,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,209.235,Q,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,210.7466,G,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,212.2548,Q,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,213.7679,G,2,Complete Darkness (0–5 lux),3-2-1,space,1.2311,0.1818
Sagarika_trial,Run1,215.28,N,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,216.7909,K,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,218.2948,N,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,219.8077,C,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,221.317,X,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,222.822,W,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,224.3309,X,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,225.8437,W,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,227.348,K,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,228.8601,O,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,230.371,L,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,231.8758,W,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,233.3769,L,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,234.8903,J,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,236.4025,D,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,237.9076,G,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,239.4213,T,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,240.9252,K,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,242.4344,U,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,243.9444,E,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,245.4515,U,2,Complete Darkness (0–5 lux),3-2-1,space,1.1815,0.2221
Sagarika_trial,Run1,246.9578,D,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,248.4696,R,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,249.9781,B,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,251.4914,K,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,253.0029,Q,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,254.5045,E,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,256.0086,P,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,257.5118,H,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,259.0218,P,2,Complete Darkness (0–5 lux),3-2-1,space,0.9671,0.2038
Sagarika_trial,Run1,260.5251,O,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,262.0376,S,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,263.5426,V,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,265.0479,W,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,266.5551,D,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,268.0626,S,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,269.5658,I,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,271.0746,A,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,272.5781,F,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,274.0858,A,2,Complete Darkness (0–5 lux),3-2-1,space,0.894,0.1911
Sagarika_trial,Run1,275.5894,Q,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,277.1017,K,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,278.6086,E,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,280.1112,K,2,Complete Darkness (0–5 lux),3-2-1,space,0.8073,0.2002
Sagarika_trial,Run1,281.6184,T,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,283.1228,R,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,284.626,H,2,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,348.6968,E,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,350.2094,H,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,351.7227,Y,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,353.2334,Y,1,Complete Darkness (0–5 lux),3-2-1,space,1.1061,0.2064
Sagarika_trial,Run1,354.7377,S,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,356.245,V,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,357.754,F,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,359.2588,F,1,Complete Darkness (0–5 lux),3-2-1,space,0.6921,0.211
Sagarika_trial,Run1,360.7626,H,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,362.27,T,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,363.7816,J,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,365.2869,Z,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,366.7928,N,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,368.3026,C,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,369.8099,F,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,371.315,F,1,Complete Darkness (0–5 lux),3-2-1,space,0.7109,0.2042
Sagarika_trial,Run1,372.8231,A,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,374.328,B,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,375.8398,R,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,377.3515,X,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,378.8568,R,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,380.3696,G,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,381.8758,B,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,383.3891,Q,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,384.8983,K,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,386.4056,R,1,Complete Darkness (0–5 lux),3-2-1,,,
Sagarika_trial,Run1,387.9162,R,1,Complete Darkness (0–5 lux),3-2-1,space,0.7641,0.1917
Sagarika_trial,Run1,389.4273,N,1,Complete Darkness (0–5 lux),3-2-1,,,
