Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sari_2_final,Run3,0.0048,I,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,1.6835,B,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,3.3553,J,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,5.0343,Z,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,6.7138,Z,1,Rather Dark (10–50 lux),1-2-3,space,1.1224,0.1714
Sari_2_final,Run3,8.3826,E,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,10.0584,T,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,11.7304,Y,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,13.4064,D,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,15.0855,I,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,16.7608,I,1,Rather Dark (10–50 lux),1-2-3,space,0.9998,0.1384
Sari_2_final,Run3,18.4365,U,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,20.1114,S,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,21.7918,M,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,23.4665,W,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,25.1455,A,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,26.8214,V,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,28.5015,V,1,Rather Dark (10–50 lux),1-2-3,space,1.1671,0.1418
Sari_2_final,Run3,30.1756,X,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,31.8539,I,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,33.5336,T,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,35.2103,S,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,36.8806,K,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,38.5556,K,1,Rather Dark (10–50 lux),1-2-3,space,0.9633,0.1716
Sari_2_final,Run3,40.2363,N,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,41.9128,G,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,43.5869,N,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,45.2604,K,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,46.9331,K,1,Rather Dark (10–50 lux),1-2-3,space,0.955,0.1294
Sari_2_final,Run3,48.6103,P,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,50.2807,K,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,51.9542,K,1,Rather Dark (10–50 lux),1-2-3,space,0.9966,0.1498
Sari_2_final,Run3,53.6258,C,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,55.2987,B,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,56.9708,R,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,58.6516,R,1,Rather Dark (10–50 lux),1-2-3,space,1.053,0.1414
Sari_2_final,Run3,60.3299,M,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,62.0084,J,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,63.6872,N,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,65.3578,Y,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,67.0306,V,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,68.7025,V,1,Rather Dark (10–50 lux),1-2-3,space,1.5153,0.1401
Sari_2_final,Run3,70.382,K,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,72.0539,M,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,73.7308,D,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,75.3989,G,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,77.0798,W,1,Rather Dark (10–50 lux),1-2-3,,,
Sari_2_final,Run3,78.7565,Y,1,Rather Dark (10–50 lux),1-2-3,,,
