Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sari_trial,Run2,0.003,E,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,1.5091,C,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,3.0158,H,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,4.517,H,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,6.0313,G,1,Rather Bright (300–500 lux),1-2-3,space,0.5666,0.2217
Sari_trial,Run2,7.5357,B,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,9.0401,B,1,Rather Bright (300–500 lux),1-2-3,space,1.0854,0.1926
Sari_trial,Run2,10.5445,Y,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,12.0492,B,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,13.5597,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,15.063,W,1,Rather Bright (300–500 lux),1-2-3,space,0.8448,0.1925
Sari_trial,Run2,16.5687,V,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,18.0718,D,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,19.5771,E,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,21.0884,Z,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,22.5954,V,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,24.1033,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,25.6084,E,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,27.1121,J,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,28.6212,O,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,30.1306,N,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,31.6398,K,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,33.1446,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,34.6506,B,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,36.1601,L,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,37.669,L,1,Rather Bright (300–500 lux),1-2-3,space,0.9459,0.1809
Sari_trial,Run2,39.18,A,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,40.6813,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,42.1933,S,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,43.7094,I,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,45.2212,I,1,Rather Bright (300–500 lux),1-2-3,space,0.9749,0.2009
Sari_trial,Run2,46.7302,V,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,48.2402,J,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,49.7498,C,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,51.2534,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,52.7644,D,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,54.2728,N,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,55.7801,N,1,Rather Bright (300–500 lux),1-2-3,space,0.9102,0.1912
Sari_trial,Run2,57.2864,N,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,58.7934,J,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,60.3009,P,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,61.8055,S,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,63.3122,S,1,Rather Bright (300–500 lux),1-2-3,space,1.1446,0.1813
Sari_trial,Run2,64.8208,Q,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,66.3249,G,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,67.8286,E,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,69.3353,C,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,70.8372,D,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,72.3433,O,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,73.8472,B,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,75.3484,I,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,76.8557,I,1,Rather Bright (300–500 lux),1-2-3,space,0.8174,0.2526
Sari_trial,Run2,78.3627,O,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,79.8663,V,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,81.3735,J,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,82.8757,E,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,84.3882,F,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,85.8992,F,1,Rather Bright (300–500 lux),1-2-3,space,0.9338,0.2137
Sari_trial,Run2,87.4082,M,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,88.9122,V,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,90.4231,O,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,91.9255,N,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,93.4357,A,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,94.9395,X,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,96.4415,B,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,97.9455,D,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,99.4473,D,1,Rather Bright (300–500 lux),1-2-3,space,1.4613,
Sari_trial,Run2,100.9549,R,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,102.4584,W,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,103.9597,A,1,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,110.7331,T,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,112.236,W,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,113.7393,V,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,115.243,H,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,116.7474,V,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,118.2554,U,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,119.7582,P,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,121.2596,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,122.7684,G,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,124.2802,R,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,125.7844,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,127.2881,X,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,128.7899,F,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,130.2991,H,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,131.8015,N,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,133.3063,H,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,134.8116,J,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,136.3197,D,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,137.828,T,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,139.337,W,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,140.8482,K,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,142.3531,W,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,143.8556,F,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,145.3655,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,146.8723,R,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,148.3806,Q,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,149.8881,B,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,151.3938,G,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,152.9037,V,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,154.4091,D,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,155.917,U,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,157.4248,D,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,158.9292,Z,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,160.4313,Y,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,161.9333,D,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,163.4357,M,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,164.9432,D,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,166.4475,X,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,167.955,Z,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,169.4602,F,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,170.9693,N,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,172.4802,F,2,Rather Bright (300–500 lux),1-2-3,space,1.3669,
Sari_trial,Run2,173.987,I,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,175.4885,U,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,176.9934,K,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,178.4957,S,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,180.0054,K,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,181.5145,H,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,183.0191,R,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,184.5213,W,2,Rather Bright (300–500 lux),1-2-3,,,
Sari_trial,Run2,186.0304,R,2,Rather Bright (300–500 lux),1-2-3,space,0.9516,0.1841
