Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Satish_Final_1,Run2,0.0092,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,1.6945,H,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,3.3748,R,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,5.0529,I,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,6.7262,J,3,Low Light (≈200 lux),3-1-2,space,1.3024,0.1792
Satish_Final_1,Run2,8.3962,R,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,10.0802,L,3,Low Light (≈200 lux),3-1-2,space,0.2434,0.137
Satish_Final_1,Run2,11.7623,Z,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,13.44,J,3,Low Light (≈200 lux),3-1-2,space,1.3938,0.1901
Satish_Final_1,Run2,15.1095,R,3,Low Light (≈200 lux),3-1-2,space,1.3107,0.1299
Satish_Final_1,Run2,16.7907,E,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,18.4663,F,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,20.1393,R,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,21.8103,R,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,23.4938,X,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,25.1772,S,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,26.8494,I,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,28.5338,D,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,30.213,W,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,31.8847,I,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,33.5547,J,3,Low Light (≈200 lux),3-1-2,space,0.4456,0.165
Satish_Final_1,Run2,35.2224,L,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,36.8996,U,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,38.5744,V,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,40.2494,H,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,41.926,N,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,43.6097,M,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,45.2859,H,3,Low Light (≈200 lux),3-1-2,space,1.0624,0.1862
Satish_Final_1,Run2,46.9625,K,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,48.6362,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,50.3125,V,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,51.9846,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,53.6656,Q,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,55.3363,M,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,57.0146,I,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,58.6824,M,3,Low Light (≈200 lux),3-1-2,space,1.1743,0.204
Satish_Final_1,Run2,60.3565,M,3,Low Light (≈200 lux),3-1-2,space,1.3072,0.1285
Satish_Final_1,Run2,62.0329,E,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,63.7044,W,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,65.3784,F,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,67.0567,O,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,68.7296,W,3,Low Light (≈200 lux),3-1-2,space,0.983,0.2323
Satish_Final_1,Run2,70.3987,E,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,72.0757,P,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,73.7446,I,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,75.4165,P,3,Low Light (≈200 lux),3-1-2,space,1.3043,0.1505
Satish_Final_1,Run2,77.0925,U,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,78.7686,B,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,80.4418,D,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,82.1139,P,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,83.7911,U,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,85.4662,D,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,87.1426,T,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,88.8157,L,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,90.4883,P,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,92.1656,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,93.8406,L,3,Low Light (≈200 lux),3-1-2,space,1.154,0.2024
Satish_Final_1,Run2,95.5146,V,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,97.1923,U,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,98.8768,A,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,100.5494,K,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,102.2267,S,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,103.8944,A,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,105.5627,F,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,107.2377,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,108.9196,G,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,110.5946,S,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,112.2637,Z,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,113.9345,G,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,115.6093,J,3,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,118.0922,I,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,119.7794,C,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,121.4523,A,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,123.1258,I,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,124.7944,I,1,Low Light (≈200 lux),3-1-2,space,0.9697,0.1814
Satish_Final_1,Run2,126.4621,C,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,128.1347,Z,1,Low Light (≈200 lux),3-1-2,space,1.5539,
Satish_Final_1,Run2,129.8059,X,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,131.4838,K,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,133.1573,I,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,134.825,W,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,136.4968,Z,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,138.1682,H,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,139.8457,A,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,141.5186,B,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,143.1911,B,1,Low Light (≈200 lux),3-1-2,space,0.9862,0.1713
Satish_Final_1,Run2,144.8659,A,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,146.5387,X,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,148.2074,V,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,149.8785,G,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,151.5497,G,1,Low Light (≈200 lux),3-1-2,space,1.288,0.1691
Satish_Final_1,Run2,153.2225,D,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,154.9012,W,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,156.5778,N,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,158.2486,T,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,159.9207,O,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,161.5916,O,1,Low Light (≈200 lux),3-1-2,space,0.9469,0.1818
Satish_Final_1,Run2,163.2646,A,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,164.9394,V,1,Low Light (≈200 lux),3-1-2,,,
Satish_Final_1,Run2,166.6115,V,1,Low Light (≈200 lux),3-1-2,space,1.1074,0.1795
