Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Selva - Tial,Run1,0.0101,Q,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,1.524,G,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,3.0336,C,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,4.5513,Z,1,Complete Darkness (0–5 lux),1-3-2,space,1.2956,0.194
Selva - Tial,Run1,6.0605,T,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,7.5796,I,1,Complete Darkness (0–5 lux),1-3-2,space,0.6243,0.1791
Selva - Tial,Run1,9.0951,A,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,10.614,R,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,12.1303,B,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,13.6509,O,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,15.1578,Q,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,16.6613,A,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,18.1766,F,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,19.6787,F,1,Complete Darkness (0–5 lux),1-3-2,space,1.1267,0.1815
Selva - Tial,Run1,21.1903,G,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,22.6999,X,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,24.2036,I,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,25.7214,S,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,27.2361,J,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,28.7446,J,1,Complete Darkness (0–5 lux),1-3-2,space,1.1479,0.2045
Selva - Tial,Run1,30.2499,J,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,31.758,Q,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,33.2696,Q,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,34.7872,Y,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,36.3063,L,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,37.8209,D,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,39.3304,C,1,Complete Darkness (0–5 lux),1-3-2,,,
Selva - Tial,Run1,40.8426,U,1,Complete Darkness (0–5 lux),1-3-2,,,
