Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
selva-2,Run1,0.002,D,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,1.5081,J,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,3.0182,K,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,4.5204,R,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,6.0304,K,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,7.5356,K,3,Low Light (≈200 lux),3-2-1,space,0.2441,0.1937
selva-2,Run1,9.0394,S,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,10.5471,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,12.0567,Z,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,13.5673,V,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,15.0708,P,3,Low Light (≈200 lux),3-2-1,space,1.1502,0.1613
selva-2,Run1,16.5755,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,18.078,X,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,19.5798,O,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,21.0901,M,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,22.5933,X,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,24.098,Z,3,Low Light (≈200 lux),3-2-1,space,0.0663,0.1716
selva-2,Run1,25.608,C,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,27.1157,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,28.622,Y,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,30.1238,C,3,Low Light (≈200 lux),3-2-1,space,1.1194,0.1918
selva-2,Run1,31.629,F,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,33.1361,A,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,34.6434,J,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,36.1494,V,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,37.6506,O,3,Low Light (≈200 lux),3-2-1,space,0.8595,0.2236
selva-2,Run1,39.1522,I,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,40.6541,G,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,42.1593,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,43.6612,C,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,45.1719,Z,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,46.6743,P,3,Low Light (≈200 lux),3-2-1,space,1.1492,0.2376
selva-2,Run1,48.1787,E,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,49.6819,Z,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,51.1875,K,3,Low Light (≈200 lux),3-2-1,space,0.3558,0.2118
selva-2,Run1,52.6951,A,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,54.1987,J,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,55.7005,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,57.2036,I,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,58.7131,X,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,60.2197,P,3,Low Light (≈200 lux),3-2-1,space,0.9681,0.2446
selva-2,Run1,61.725,B,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,63.232,A,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,64.7404,R,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,66.2468,V,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,67.7554,G,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,69.2565,R,3,Low Light (≈200 lux),3-2-1,space,1.1093,0.2061
selva-2,Run1,70.7657,R,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,72.2756,E,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,73.7818,S,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,75.2858,Z,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,76.796,E,3,Low Light (≈200 lux),3-2-1,space,0.9674,0.1932
selva-2,Run1,78.307,P,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,79.8156,Z,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,81.32,B,3,Low Light (≈200 lux),3-2-1,space,0.2571,0.1827
selva-2,Run1,82.8225,S,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,84.3241,L,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,85.8261,R,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,87.3273,H,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,88.8358,B,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,90.3388,Z,3,Low Light (≈200 lux),3-2-1,space,1.2273,0.2241
selva-2,Run1,91.8466,J,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,93.3566,B,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,94.8589,J,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,96.36,O,3,Low Light (≈200 lux),3-2-1,space,0.395,0.2138
selva-2,Run1,97.8619,F,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,99.3725,X,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,100.8744,O,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,102.3778,L,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,103.8881,Q,3,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,140.499,T,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,142.008,O,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,143.5135,B,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,145.0237,D,2,Low Light (≈200 lux),3-2-1,space,0.9736,0.1383
selva-2,Run1,146.5332,J,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,148.0368,P,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,149.5434,J,2,Low Light (≈200 lux),3-2-1,space,1.04,0.1788
selva-2,Run1,151.0517,X,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,152.5551,H,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,154.0563,W,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,155.568,C,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,157.0731,W,2,Low Light (≈200 lux),3-2-1,space,1.1766,0.1612
selva-2,Run1,158.5818,C,2,Low Light (≈200 lux),3-2-1,space,0.9655,0.1719
selva-2,Run1,160.0933,Z,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,161.5973,S,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,163.1082,Z,2,Low Light (≈200 lux),3-2-1,space,0.9568,0.1599
selva-2,Run1,164.6132,E,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,166.1144,V,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,167.625,J,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,169.1354,V,2,Low Light (≈200 lux),3-2-1,space,1.2005,0.1861
selva-2,Run1,170.6412,S,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,172.1491,X,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,173.6554,S,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,175.1598,D,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,176.6657,L,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,178.1718,S,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,179.676,I,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,181.1787,F,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,182.6901,J,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,184.2008,F,2,Low Light (≈200 lux),3-2-1,space,1.204,0.1703
selva-2,Run1,185.704,V,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,187.2061,J,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,188.7088,R,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,190.2141,J,2,Low Light (≈200 lux),3-2-1,space,0.9992,0.1929
selva-2,Run1,191.7251,B,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,193.2291,Y,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,194.7312,O,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,196.2405,T,2,Low Light (≈200 lux),3-2-1,,,
selva-2,Run1,197.7419,M,2,Low Light (≈200 lux),3-2-1,,,
