Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sri_bright-1,Run1,0.004,A,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,1.6759,L,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,3.3471,H,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,5.0185,N,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,6.6937,J,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,8.3702,M,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,10.0403,B,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,11.7142,C,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,13.3874,N,3,Low Light (≈200 lux),3-2-1,space,1.3986,0.1712
Sri_bright-1,Run1,15.0573,B,3,Low Light (≈200 lux),3-2-1,space,1.4901,0.1373
Sri_bright-1,Run1,16.7313,A,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,18.4085,Y,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,20.0897,Z,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,21.7613,H,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,23.4383,J,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,25.1083,Z,3,Low Light (≈200 lux),3-2-1,space,1.2691,0.186
Sri_bright-1,Run1,26.7872,K,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,28.4636,C,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,30.1385,G,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,31.8167,T,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,33.4938,W,3,Low Light (≈200 lux),3-2-1,,,
Sri_bright-1,Run1,35.1642,N,3,Low Light (≈200 lux),3-2-1,,,
