Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Sri_final,Run3,0.0022,O,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,1.6762,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,3.3552,M,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,5.0291,F,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,6.7085,O,3,Rather Bright (300–500 lux),3-2-1,space,1.5015,0.1062
Sri_final,Run3,8.3841,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,10.0598,F,3,Rather Bright (300–500 lux),3-2-1,space,0.446,0.1082
Sri_final,Run3,11.7322,S,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,13.41,M,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,15.0839,S,3,Rather Bright (300–500 lux),3-2-1,space,1.2398,0.1388
Sri_final,Run3,16.7569,M,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,18.4378,V,3,Rather Bright (300–500 lux),3-2-1,space,0.2575,0.1276
Sri_final,Run3,20.11,K,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,21.7864,R,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,23.4589,Z,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,25.14,T,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,26.8095,R,3,Rather Bright (300–500 lux),3-2-1,space,1.2425,0.1388
Sri_final,Run3,28.4804,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,30.1598,B,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,31.841,A,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,33.5218,E,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,35.1948,N,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,36.87,J,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,38.5442,O,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,40.2189,N,3,Rather Bright (300–500 lux),3-2-1,space,1.0097,0.225
Sri_final,Run3,41.8911,E,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,43.5659,T,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,45.2435,O,3,Rather Bright (300–500 lux),3-2-1,space,1.1467,0.1819
Sri_final,Run3,46.9146,V,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,48.5895,T,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,50.2657,B,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,51.9463,I,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,53.6232,J,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,55.2943,T,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,56.9687,E,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,58.6457,F,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,60.3228,T,3,Rather Bright (300–500 lux),3-2-1,space,0.9346,0.2066
Sri_final,Run3,61.9979,Q,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,63.6757,G,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,65.3542,I,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,67.0291,C,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,68.7011,G,3,Rather Bright (300–500 lux),3-2-1,space,1.4739,
Sri_final,Run3,70.3791,V,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,72.054,R,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,73.7316,G,3,Rather Bright (300–500 lux),3-2-1,space,1.0155,0.2048
Sri_final,Run3,75.4051,O,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,77.0785,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,78.7539,O,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,80.4276,T,3,Rather Bright (300–500 lux),3-2-1,space,1.37,0.1703
Sri_final,Run3,82.1021,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,83.7772,P,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,85.4529,E,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,87.1269,N,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,88.807,A,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,90.4833,B,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,92.1622,N,3,Rather Bright (300–500 lux),3-2-1,space,1.3209,0.1697
Sri_final,Run3,93.8393,X,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,95.51,N,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,97.1841,B,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,98.8566,I,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,100.5332,N,3,Rather Bright (300–500 lux),3-2-1,space,1.4517,0.2134
Sri_final,Run3,102.2102,V,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,103.887,L,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,105.5593,U,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,107.233,I,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,108.908,L,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,110.5838,D,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,112.2566,T,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,113.9274,E,3,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,115.5979,D,3,Rather Bright (300–500 lux),3-2-1,space,1.5208,
Sri_final,Run3,118.5143,G,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,120.1948,T,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,121.8696,Y,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,123.5402,D,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,125.2129,M,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,126.8892,T,2,Rather Bright (300–500 lux),3-2-1,space,1.179,0.1405
Sri_final,Run3,128.5681,M,2,Rather Bright (300–500 lux),3-2-1,space,1.3909,0.1613
Sri_final,Run3,130.2377,N,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,131.9184,S,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,133.5968,G,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,135.2774,D,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,136.9573,G,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,138.6291,U,2,Rather Bright (300–500 lux),3-2-1,space,0.2446,0.1509
Sri_final,Run3,140.302,L,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,141.9779,F,2,Rather Bright (300–500 lux),3-2-1,,,
Sri_final,Run3,143.6579,J,2,Rather Bright (300–500 lux),3-2-1,,,
