Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Uli_Final-2,Run4,0.0036,I,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,1.6816,U,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,3.3596,Q,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,5.0326,L,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,6.7091,R,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,8.3898,C,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,10.0683,R,2,Low Light (≈200 lux),2-3-1,space,1.4516,0.1722
Uli_Final-2,Run4,11.7387,B,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,13.409,Y,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,15.0859,K,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,16.7664,O,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,18.442,V,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,20.1137,E,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,21.7892,N,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,23.4647,E,2,Low Light (≈200 lux),2-3-1,space,1.0772,0.1614
Uli_Final-2,Run4,25.1391,M,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,26.8164,N,2,Low Light (≈200 lux),2-3-1,space,1.3236,0.1418
Uli_Final-2,Run4,28.4848,C,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,30.1533,T,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,31.8299,C,2,Low Light (≈200 lux),2-3-1,space,1.4789,0.1701
Uli_Final-2,Run4,33.5015,J,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,35.1769,C,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,36.8542,V,2,Low Light (≈200 lux),2-3-1,space,1.2886,0.1593
Uli_Final-2,Run4,38.5269,H,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,40.2056,J,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,41.8758,O,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,43.5437,J,2,Low Light (≈200 lux),2-3-1,space,1.2293,0.1489
Uli_Final-2,Run4,45.2226,M,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,46.8985,X,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,48.5668,C,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,50.2466,U,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,51.9188,F,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,53.5899,L,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,55.2599,F,2,Low Light (≈200 lux),2-3-1,space,1.1375,0.164
Uli_Final-2,Run4,56.9389,B,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,58.6182,H,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,60.2918,R,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,61.9716,H,2,Low Light (≈200 lux),2-3-1,space,0.9594,0.1618
Uli_Final-2,Run4,63.6509,S,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,65.325,Z,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,66.9978,N,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,68.669,Z,2,Low Light (≈200 lux),2-3-1,space,1.2028,0.1578
Uli_Final-2,Run4,70.3455,M,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,72.0253,L,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,73.701,N,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,75.3769,T,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,77.05,Y,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,78.7301,A,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,80.4061,G,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,82.0849,A,2,Low Light (≈200 lux),2-3-1,space,1.5578,
Uli_Final-2,Run4,83.7647,G,2,Low Light (≈200 lux),2-3-1,space,1.3951,0.1074
Uli_Final-2,Run4,85.4416,B,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,87.1185,X,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,88.7968,L,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,90.4696,X,2,Low Light (≈200 lux),2-3-1,space,1.2341,0.1696
Uli_Final-2,Run4,92.1465,N,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,93.8194,S,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,95.495,N,2,Low Light (≈200 lux),2-3-1,space,1.2927,0.214
Uli_Final-2,Run4,97.1661,S,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,98.8375,A,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,100.5086,H,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,102.1855,O,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,103.8584,M,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,105.5288,U,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,107.208,I,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,108.8759,N,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,110.553,I,2,Low Light (≈200 lux),2-3-1,space,1.1662,0.1596
Uli_Final-2,Run4,112.2318,N,2,Low Light (≈200 lux),2-3-1,space,1.1511,0.1182
Uli_Final-2,Run4,113.9062,B,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,115.5846,G,2,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,119.1869,Q,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,120.861,S,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,122.5373,W,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,124.2086,D,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,125.8883,N,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,127.5673,M,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,129.2415,L,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,130.9156,G,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,132.5952,N,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,134.2649,F,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,135.9416,E,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,137.6167,F,3,Low Light (≈200 lux),2-3-1,,,
Uli_Final-2,Run4,139.2913,W,3,Low Light (≈200 lux),2-3-1,,,
