Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Vineel_1,Run5,0.004,R,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,1.5097,W,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,3.0161,S,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,4.5208,E,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,6.029,Z,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,7.533,K,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,9.0433,E,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,10.5517,B,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,12.0532,B,1,Bright Light (>1000 lux),1-3-2,space,1.2102,0.2243
Vineel_1,Run5,13.5662,V,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,15.0775,O,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,16.59,O,1,Bright Light (>1000 lux),1-3-2,space,1.3894,
Vineel_1,Run5,18.0993,F,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,19.6081,H,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,21.1178,D,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,22.6217,V,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,24.1312,R,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,25.6427,Z,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,27.1502,P,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,28.6603,Y,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,30.1637,O,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,31.6753,L,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,33.1858,L,1,Bright Light (>1000 lux),1-3-2,space,0.9853,0.225
Vineel_1,Run5,34.6937,Q,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,36.202,E,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,37.7151,P,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,39.2227,P,1,Bright Light (>1000 lux),1-3-2,space,1.3173,
Vineel_1,Run5,40.7275,O,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,42.2326,L,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,43.7357,X,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,45.2482,N,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,46.7606,M,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,48.2713,M,1,Bright Light (>1000 lux),1-3-2,space,1.1732,0.3091
Vineel_1,Run5,49.7799,M,1,Bright Light (>1000 lux),1-3-2,space,1.1622,0.1922
Vineel_1,Run5,51.2879,V,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,52.7936,G,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,54.2996,K,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,55.8049,K,1,Bright Light (>1000 lux),1-3-2,space,1.4061,
Vineel_1,Run5,57.3114,I,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,58.815,N,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,60.3205,V,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,61.8313,T,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,63.3388,S,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,64.8519,S,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,66.3652,J,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,67.8724,W,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,69.3782,X,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,70.8813,S,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,72.3846,X,1,Bright Light (>1000 lux),1-3-2,space,1.1285,0.2246
Vineel_1,Run5,73.8902,X,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,75.396,T,1,Bright Light (>1000 lux),1-3-2,space,0.0974,0.1716
Vineel_1,Run5,76.8998,J,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,78.4058,Y,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,79.9144,F,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,81.4249,X,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,82.929,Z,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,84.4425,E,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,85.9548,T,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,87.4626,T,1,Bright Light (>1000 lux),1-3-2,space,1.1762,0.2113
Vineel_1,Run5,88.971,J,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,90.4765,S,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,91.9837,Q,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,93.4871,J,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,95.001,G,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,96.508,J,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,98.021,R,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,99.5307,R,1,Bright Light (>1000 lux),1-3-2,space,1.3385,0.1587
Vineel_1,Run5,101.0429,E,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,102.5465,X,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,104.0579,Q,1,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,127.6271,N,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,129.1371,B,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,130.642,O,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,132.1538,Q,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,133.6629,G,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,135.1717,I,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,136.6776,Q,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,138.1887,A,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,139.6974,L,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,141.2021,Z,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,142.7133,V,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,144.2263,L,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,145.7372,A,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,147.2434,P,3,Bright Light (>1000 lux),1-3-2,,,
Vineel_1,Run5,148.7513,Q,3,Bright Light (>1000 lux),1-3-2,,,
