Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Zafar_final,Run1,0.0036,K,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,1.5113,J,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,3.0195,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,4.5299,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,6.0352,M,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,7.54,Z,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,9.0473,M,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,10.5507,G,2,Rather Bright (300–500 lux),2-1-3,space,0.2884,0.1196
Zafar_final,Run1,12.0637,C,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,13.5675,M,2,Rather Bright (300–500 lux),2-1-3,space,1.1088,0.1375
Zafar_final,Run1,15.0705,C,2,Rather Bright (300–500 lux),2-1-3,space,1.3956,
Zafar_final,Run1,16.577,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,18.0848,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,19.5931,I,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,21.1038,S,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,22.6172,K,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,24.1209,S,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,25.6316,Q,2,Rather Bright (300–500 lux),2-1-3,space,0.2649,0.1515
Zafar_final,Run1,27.1367,A,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,28.6467,E,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,30.1597,P,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,31.6694,R,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,33.1809,H,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,34.6935,R,2,Rather Bright (300–500 lux),2-1-3,space,1.1633,0.1498
Zafar_final,Run1,36.2032,C,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,37.7162,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,39.2229,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,40.728,R,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,42.2339,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,43.7413,R,2,Rather Bright (300–500 lux),2-1-3,space,1.4364,
Zafar_final,Run1,45.2453,J,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,46.7505,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,48.2553,W,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,49.7636,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,51.2677,X,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,52.7717,Q,2,Rather Bright (300–500 lux),2-1-3,space,1.1902,0.1298
Zafar_final,Run1,54.2779,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,55.7877,P,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,57.2912,U,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_final,Run1,58.8015,P,2,Rather Bright (300–500 lux),2-1-3,space,1.3249,0.1405
