Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
Zafar_1,Run3,0.0043,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,1.5147,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,3.0229,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,4.5291,R,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,6.0349,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,7.5418,J,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,9.05,G,2,Rather Bright (300–500 lux),2-1-3,space,1.363,0.12
Zafar_1,Run3,10.5581,C,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,12.0617,N,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,13.5752,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,15.0797,X,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,16.5867,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,18.096,V,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,19.6103,L,2,Rather Bright (300–500 lux),2-1-3,space,1.2695,0.1399
Zafar_1,Run3,21.1203,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,22.6295,E,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,24.1394,F,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,25.6516,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,27.1631,F,2,Rather Bright (300–500 lux),2-1-3,space,1.4698,
Zafar_1,Run3,28.6683,A,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,30.1731,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,31.6788,O,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,33.1929,V,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,34.7,Q,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,36.208,Y,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,37.7201,B,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,39.2286,R,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,40.7401,B,2,Rather Bright (300–500 lux),2-1-3,space,0.8674,0.1601
Zafar_1,Run3,42.2499,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,43.7614,X,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,45.2714,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,46.7799,B,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,48.2929,S,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,49.8032,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,51.3144,S,2,Rather Bright (300–500 lux),2-1-3,space,0.5446,0.1526
Zafar_1,Run3,52.8196,T,2,Rather Bright (300–500 lux),2-1-3,space,0.0209,0.1275
Zafar_1,Run3,54.3337,V,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,55.8453,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,57.3552,V,2,Rather Bright (300–500 lux),2-1-3,space,0.9707,0.1423
Zafar_1,Run3,58.8641,Y,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,60.3788,L,2,Rather Bright (300–500 lux),2-1-3,space,0.9191,0.1486
Zafar_1,Run3,61.8848,C,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,63.3978,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,64.9051,C,2,Rather Bright (300–500 lux),2-1-3,space,1.0129,0.1818
Zafar_1,Run3,66.4137,S,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,67.9273,N,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,69.4382,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,70.9439,X,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,72.455,T,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,73.9649,E,2,Rather Bright (300–500 lux),2-1-3,space,0.0653,0.149
Zafar_1,Run3,75.4781,W,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,76.9857,R,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,78.4996,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,80.0084,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,81.5202,B,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,83.0259,H,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,84.5401,B,2,Rather Bright (300–500 lux),2-1-3,space,1.0249,0.1509
Zafar_1,Run3,86.053,G,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,87.5659,A,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,89.0784,I,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,90.5893,U,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,92.0942,K,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,93.6014,J,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,95.109,K,2,Rather Bright (300–500 lux),2-1-3,space,1.0949,0.1622
Zafar_1,Run3,96.6181,F,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,98.1302,L,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,99.6348,E,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,101.1448,Y,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,102.653,E,2,Rather Bright (300–500 lux),2-1-3,space,1.0452,0.1488
Zafar_1,Run3,104.1615,D,2,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,107.3287,M,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,108.8379,X,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,110.3428,G,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,111.8541,M,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,113.3679,B,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,114.8728,F,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,116.3856,F,1,Rather Bright (300–500 lux),2-1-3,space,1.3373,0.1393
Zafar_1,Run3,117.8999,E,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,119.4119,B,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,120.9215,B,1,Rather Bright (300–500 lux),2-1-3,space,0.9714,0.1845
Zafar_1,Run3,122.426,N,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,123.9387,E,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,125.4482,B,1,Rather Bright (300–500 lux),2-1-3,,,
Zafar_1,Run3,126.9559,L,1,Rather Bright (300–500 lux),2-1-3,,,
