Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
nagaraju trial,Run1,0.0015,A,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,1.6748,L,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,3.3461,O,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,5.0257,F,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,6.6993,Q,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,8.3673,G,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,10.0404,Q,3,Rather Dark (10–50 lux),3-2-1,space,0.7895,0.1073
nagaraju trial,Run1,11.7102,R,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,13.3805,G,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,15.0566,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,16.7283,E,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,18.4017,F,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,20.0789,N,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,21.7486,Q,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,23.4256,M,3,Rather Dark (10–50 lux),3-2-1,space,0.7544,0.1288
nagaraju trial,Run1,25.1004,N,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,26.7746,V,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,28.4518,Z,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,30.1263,E,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,31.8016,W,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,33.4734,Z,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,35.1535,V,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,36.8294,W,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,38.5052,N,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,40.1759,F,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,41.8457,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,43.5242,N,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,45.198,M,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,46.8771,S,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,48.5522,O,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,50.2256,W,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,51.8992,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,53.5717,L,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,55.2446,P,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,56.9216,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,58.5925,X,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,60.2625,E,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,61.9336,R,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,63.6103,F,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,65.2845,E,3,Rather Dark (10–50 lux),3-2-1,space,0.8606,0.0857
nagaraju trial,Run1,66.9555,A,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,68.631,B,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,70.3043,X,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,71.9756,Q,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,73.6472,E,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,75.3247,X,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,77.0033,B,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,78.6802,O,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,80.3574,V,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,82.0275,E,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,83.7047,T,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,85.3837,V,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,87.0568,K,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,88.737,X,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,90.4095,M,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,92.0823,W,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,93.7619,L,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,95.4404,M,3,Rather Dark (10–50 lux),3-2-1,space,0.8188,0.1061
nagaraju trial,Run1,97.1118,F,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,98.7802,C,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,100.4521,X,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,102.1299,I,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,103.8007,C,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,105.4795,N,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,107.1555,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,108.8303,A,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,110.5036,V,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,112.1784,U,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,113.8526,A,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,115.5266,S,3,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,126.5188,X,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,128.1905,U,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,129.8642,F,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,131.5402,H,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,133.2149,A,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,134.8874,U,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,136.5626,H,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,138.2357,U,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,139.9094,S,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,141.5806,I,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,143.2582,N,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,144.9385,C,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,146.6088,F,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,148.2864,C,2,Rather Dark (10–50 lux),3-2-1,space,1.0415,0.1175
nagaraju trial,Run1,149.9606,R,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,151.6401,B,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,153.3175,J,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,154.9886,D,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,156.6676,T,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,158.3475,X,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,160.0284,T,2,Rather Dark (10–50 lux),3-2-1,,,
nagaraju trial,Run1,161.7002,H,2,Rather Dark (10–50 lux),3-2-1,,,
