Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
nagaraju-1,Run5,0.005,I,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,1.6787,X,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,3.3533,P,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,5.0274,W,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,6.7009,B,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,8.3744,P,3,Bright Light (>1000 lux),3-1-2,space,1.1933,0.1601
nagaraju-1,Run5,10.0529,D,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,11.7235,P,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,13.4007,M,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,15.0773,N,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,16.7555,I,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,18.4334,U,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,20.1107,N,3,Bright Light (>1000 lux),3-1-2,space,1.2502,0.1502
nagaraju-1,Run5,21.7912,M,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,23.47,H,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,25.1499,O,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,26.8199,H,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,28.4939,B,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,30.1681,F,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,31.8429,R,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,33.5151,B,3,Bright Light (>1000 lux),3-1-2,space,0.9261,0.1267
nagaraju-1,Run5,35.1877,W,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,36.8641,D,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,38.5389,Q,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,40.213,R,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,41.8858,D,3,Bright Light (>1000 lux),3-1-2,space,1.2949,0.1171
nagaraju-1,Run5,43.5597,D,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,45.2342,K,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,46.9103,I,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,48.5787,C,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,50.2538,E,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,51.928,I,3,Bright Light (>1000 lux),3-1-2,space,1.072,0.1393
nagaraju-1,Run5,53.5965,W,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,55.2706,H,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,56.9459,C,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,58.622,B,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,60.2937,H,3,Bright Light (>1000 lux),3-1-2,space,1.1185,0.1178
nagaraju-1,Run5,61.9735,Y,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,63.6477,X,3,Bright Light (>1000 lux),3-1-2,,,
nagaraju-1,Run5,65.3229,G,3,Bright Light (>1000 lux),3-1-2,,,
