Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
selva-2,Run5,0.0015,S,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,1.5084,Q,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,3.0173,F,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,4.5185,D,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,6.022,A,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,7.5246,H,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,9.0285,Y,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,10.5308,A,3,Bright Light (>1000 lux),3-2-1,space,1.2525,0.1904
selva-2,Run5,12.0387,I,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,13.5446,L,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,15.049,H,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,16.5559,W,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,18.0653,L,3,Bright Light (>1000 lux),3-2-1,space,1.1863,0.2395
selva-2,Run5,19.5676,X,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,21.076,L,3,Bright Light (>1000 lux),3-2-1,space,1.3006,
selva-2,Run5,22.5784,X,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,24.083,U,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,25.5914,L,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,27.0951,N,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,28.6033,Q,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,30.1136,E,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,31.6163,O,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,33.1237,L,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,34.6282,W,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,36.1385,O,3,Bright Light (>1000 lux),3-2-1,space,0.9006,0.1997
selva-2,Run5,37.6424,C,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,39.1462,W,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,40.6527,J,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,42.1635,E,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,43.6709,B,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,45.1745,P,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,46.677,U,3,Bright Light (>1000 lux),3-2-1,space,0.0854,0.1808
selva-2,Run5,48.1808,W,3,Bright Light (>1000 lux),3-2-1,space,1.3294,
selva-2,Run5,49.6901,A,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,51.1909,M,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,52.6997,W,3,Bright Light (>1000 lux),3-2-1,space,0.8376,0.1942
selva-2,Run5,54.2085,L,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,55.7137,T,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,57.2225,S,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,58.7335,A,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,60.2348,J,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,61.7359,S,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,63.2454,E,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,64.7474,Q,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,66.252,R,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,67.7592,V,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,69.266,J,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,70.7717,I,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,72.2731,V,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,73.7781,C,3,Bright Light (>1000 lux),3-2-1,,,
selva-2,Run5,75.2836,K,3,Bright Light (>1000 lux),3-2-1,,,
