Participant ID,Run ID,Timestamp,Stimulus,N-back Level,Lighting Condition,N-back Sequence,Key Press,Response Time,Key Duration
uli_final_1,Run1,0.002,E,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,1.6697,N,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,3.3421,R,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,5.0209,A,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,6.6908,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,8.3667,B,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,10.0394,I,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,11.7093,M,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,13.3841,I,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,15.0578,M,2,Rather Bright (300–500 lux),2-3-1,space,0.0218,0.1712
uli_final_1,Run1,16.7321,O,2,Rather Bright (300–500 lux),2-3-1,space,0.5521,0.1801
uli_final_1,Run1,18.401,M,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,20.0769,O,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,21.7514,J,2,Rather Bright (300–500 lux),2-3-1,space,0.2007,0.1948
uli_final_1,Run1,23.4216,N,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,25.0981,A,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,26.7786,C,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,28.4559,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,30.1297,Z,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,31.8041,R,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,33.4798,Z,2,Rather Bright (300–500 lux),2-3-1,space,1.437,0.1176
uli_final_1,Run1,35.1576,L,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,36.8359,T,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,38.514,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,40.1939,C,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,41.8728,H,2,Rather Bright (300–500 lux),2-3-1,space,0.9617,0.1592
uli_final_1,Run1,43.5479,Z,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,45.218,Q,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,46.8926,L,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,48.5633,O,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,50.2376,M,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,51.9112,F,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,53.5849,B,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,55.2638,J,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,56.934,T,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,58.6086,P,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,60.2798,T,2,Rather Bright (300–500 lux),2-3-1,space,1.3888,0.2438
uli_final_1,Run1,61.959,S,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,63.6346,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,65.3112,K,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,66.9823,R,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,68.6578,K,2,Rather Bright (300–500 lux),2-3-1,space,1.2464,0.1495
uli_final_1,Run1,70.3326,S,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,72.0076,Z,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,73.6807,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,75.3502,J,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,77.023,R,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,78.696,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,80.3696,T,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,82.0469,Z,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,83.7169,W,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,85.3962,O,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,87.0668,Y,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,88.7423,H,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,90.4178,W,2,Rather Bright (300–500 lux),2-3-1,space,1.377,0.1703
uli_final_1,Run1,92.0877,O,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,93.7568,W,2,Rather Bright (300–500 lux),2-3-1,space,1.2224,0.2127
uli_final_1,Run1,95.4299,U,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,97.1074,S,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,98.7866,V,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,100.4627,F,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,102.1407,V,2,Rather Bright (300–500 lux),2-3-1,space,1.3758,0.1638
uli_final_1,Run1,103.8128,K,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,105.4898,I,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,107.1607,Q,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,108.8408,I,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,110.5188,C,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,112.1948,Z,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,113.8734,D,2,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,115.5448,Z,2,Rather Bright (300–500 lux),2-3-1,space,1.2431,0.1604
uli_final_1,Run1,123.4644,I,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,125.1417,A,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,126.8203,M,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,128.4917,U,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,130.1624,Z,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,131.8407,A,3,Rather Bright (300–500 lux),2-3-1,space,1.4488,0.1823
uli_final_1,Run1,133.5181,E,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,135.1981,V,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,136.8779,O,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,138.5522,R,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,140.2259,V,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,141.906,O,3,Rather Bright (300–500 lux),2-3-1,space,0.0006,0.1714
uli_final_1,Run1,143.5799,A,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,145.2598,L,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,146.93,F,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,148.6046,A,3,Rather Bright (300–500 lux),2-3-1,space,1.0242,0.1909
uli_final_1,Run1,150.2802,L,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,151.9487,N,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,153.6246,G,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,155.3014,P,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,156.9721,S,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,158.6518,L,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,160.3247,I,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,162.0038,S,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,163.6799,Q,3,Rather Bright (300–500 lux),2-3-1,space,0.4795,0.1891
uli_final_1,Run1,165.3539,C,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,167.0283,U,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,168.7047,I,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,170.3775,C,3,Rather Bright (300–500 lux),2-3-1,space,1.2133,0.1832
uli_final_1,Run1,172.0535,Y,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,173.7283,O,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,175.3999,C,3,Rather Bright (300–500 lux),2-3-1,,,
uli_final_1,Run1,177.0739,L,3,Rather Bright (300–500 lux),2-3-1,space,1.1837,0.237
